Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.1353359000058845
8,0.01,8,ReLU,100,0.8949083048520109,0.8896103874311988,0.8980552070263488,2.98975409999548
8,0.01,8,ReLU,300,0.8949083048520109,0.8896103874311988,0.8980552070263488,2.9654219999938505
8,0.01,8,ReLU,500,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.1280095999973128
8,0.01,8,ReLU,1000,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.1246563000022434
8,0.01,8,Tanh,50,0.8636598527946843,0.862102046240356,0.8723337515683814,3.660460700004478
8,0.01,8,Tanh,100,0.8636598527946843,0.862102046240356,0.8723337515683814,3.5521655999909854
8,0.01,8,Tanh,300,0.8636598527946843,0.862102046240356,0.8723337515683814,3.5674295000062557
8,0.01,8,Tanh,500,0.8636598527946843,0.862102046240356,0.8723337515683814,3.6252021999971475
8,0.01,8,Tanh,1000,0.8636598527946843,0.862102046240356,0.8723337515683814,3.7274307000043336
8,0.01,8,Sigmoid,50,0.899919802659768,0.8940725021004621,0.9015056461731493,3.6844765999994706
8,0.01,8,Sigmoid,100,0.899919802659768,0.8940725021004621,0.9015056461731493,3.7931018999952357
8,0.01,8,Sigmoid,300,0.899919802659768,0.8940725021004621,0.9015056461731493,3.7347215000045253
8,0.01,8,Sigmoid,500,0.899919802659768,0.8940725021004621,0.9015056461731493,3.992174700004398
8,0.01,8,Sigmoid,1000,0.899919802659768,0.8940725021004621,0.9015056461731493,3.7616891999932704
8,0.01,8,GELU,50,0.8949083048520109,0.8896103874311988,0.8980552070263488,2.8980919000023277
8,0.01,8,GELU,100,0.8949083048520109,0.8896103874311988,0.8980552070263488,2.9485602999920957
8,0.01,8,GELU,300,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.1692635000072187
8,0.01,8,GELU,500,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.066633299997193
8,0.01,8,GELU,1000,0.8949083048520109,0.8896103874311988,0.8980552070263488,3.247753700008616
8,0.01,8,Softmax,50,0.899919802659768,0.8940725021004621,0.9015056461731493,3.7905884999927366
8,0.01,8,Softmax,100,0.899919802659768,0.8940725021004621,0.9015056461731493,3.819054999999935
8,0.01,8,Softmax,300,0.899919802659768,0.8940725021004621,0.9015056461731493,3.874879499999224
8,0.01,8,Softmax,500,0.899919802659768,0.8940725021004621,0.9015056461731493,3.8983651000016835
8,0.01,8,Softmax,1000,0.899919802659768,0.8940725021004621,0.9015056461731493,3.8152294000028633
8,0.01,16,ReLU,50,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.8825899999937974
8,0.01,16,ReLU,100,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.991150400004699
8,0.01,16,ReLU,300,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.9740083000069717
8,0.01,16,ReLU,500,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.8350574000069173
8,0.01,16,ReLU,1000,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.7954297000105726
8,0.01,16,Tanh,50,0.8733714323235984,0.8682273905027955,0.8754705144291092,2.139183999999659
8,0.01,16,Tanh,100,0.8733714323235984,0.8682273905027955,0.8754705144291092,2.0471419999958016
8,0.01,16,Tanh,300,0.8733714323235984,0.8682273905027955,0.8754705144291092,2.0121022000093944
8,0.01,16,Tanh,500,0.8733714323235984,0.8682273905027955,0.8754705144291092,2.075145999988308
8,0.01,16,Tanh,1000,0.8733714323235984,0.8682273905027955,0.8754705144291092,2.0995556999987457
8,0.01,16,Sigmoid,50,0.9004139921107212,0.893866058956013,0.9008782936010038,2.3471011000074213
8,0.01,16,Sigmoid,100,0.9004139921107212,0.893866058956013,0.9008782936010038,2.270770099989022
8,0.01,16,Sigmoid,300,0.9004139921107212,0.893866058956013,0.9008782936010038,2.2124219999968773
8,0.01,16,Sigmoid,500,0.9004139921107212,0.893866058956013,0.9008782936010038,2.1981645000050776
8,0.01,16,Sigmoid,1000,0.9004139921107212,0.893866058956013,0.9008782936010038,2.287142400004086
8,0.01,16,GELU,50,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.9574324999994133
8,0.01,16,GELU,100,0.8896404434319122,0.8823047125927129,0.8898996235884568,2.0139961000095354
8,0.01,16,GELU,300,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.8958311999886064
8,0.01,16,GELU,500,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.943086500003119
8,0.01,16,GELU,1000,0.8896404434319122,0.8823047125927129,0.8898996235884568,1.9753989000018919
8,0.01,16,Softmax,50,0.9004139921107212,0.893866058956013,0.9008782936010038,2.3476811000000453
8,0.01,16,Softmax,100,0.9004139921107212,0.893866058956013,0.9008782936010038,2.2189807999966433
8,0.01,16,Softmax,300,0.9004139921107212,0.893866058956013,0.9008782936010038,2.290006200011703
8,0.01,16,Softmax,500,0.9004139921107212,0.893866058956013,0.9008782936010038,2.4611053000116954
8,0.01,16,Softmax,1000,0.9004139921107212,0.893866058956013,0.9008782936010038,2.3386563999956707
8,0.01,32,ReLU,50,0.8732499801663819,0.8696017184973228,0.8773525721455459,0.9948096000007354
8,0.01,32,ReLU,100,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0742444000061369
8,0.01,32,ReLU,300,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.026050700005726
8,0.01,32,ReLU,500,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.028491799996118
8,0.01,32,ReLU,1000,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0846987999975681
8,0.01,32,Tanh,50,0.8662794022032659,0.861999860544496,0.8717063989962359,1.2291276000032667
8,0.01,32,Tanh,100,0.8662794022032659,0.861999860544496,0.8717063989962359,1.2416067000012845
8,0.01,32,Tanh,300,0.8662794022032659,0.861999860544496,0.8717063989962359,1.1747153000032995
8,0.01,32,Tanh,500,0.8662794022032659,0.861999860544496,0.8717063989962359,1.2457693999895127
8,0.01,32,Tanh,1000,0.8662794022032659,0.861999860544496,0.8717063989962359,1.2055485999881057
8,0.01,32,Sigmoid,50,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.5088600000017323
8,0.01,32,Sigmoid,100,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.3693205999879865
8,0.01,32,Sigmoid,300,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4592410999903223
8,0.01,32,Sigmoid,500,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.490865699990536
8,0.01,32,Sigmoid,1000,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4705493000074057
8,0.01,32,GELU,50,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0182869999989634
8,0.01,32,GELU,100,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0092653000028804
8,0.01,32,GELU,300,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.048612900005537
8,0.01,32,GELU,500,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0783234999980778
8,0.01,32,GELU,1000,0.8732499801663819,0.8696017184973228,0.8773525721455459,1.0248544000060065
8,0.01,32,Softmax,50,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.3775613000034355
8,0.01,32,Softmax,100,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4057482999924105
8,0.01,32,Softmax,300,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4283889000071213
8,0.01,32,Softmax,500,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4654256999929203
8,0.01,32,Softmax,1000,0.8955233204782144,0.8907552261904623,0.8986825595984943,1.4265178000059677
8,0.01,64,ReLU,50,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.9297339000040665
8,0.01,64,ReLU,100,0.8820173793711326,0.8768734126797456,0.8848808030112923,1.005717399995774
8,0.01,64,ReLU,300,0.8820173793711326,0.8768734126797456,0.8848808030112923,1.0141683000110788
8,0.01,64,ReLU,500,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.8987161999975797
8,0.01,64,ReLU,1000,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.9407595000084257
8,0.01,64,Tanh,50,0.8679156511857625,0.8645335366598955,0.8739021329987453,0.8329585000028601
8,0.01,64,Tanh,100,0.8679156511857625,0.8645335366598955,0.8739021329987453,0.869664300000295
8,0.01,64,Tanh,300,0.8679156511857625,0.8645335366598955,0.8739021329987453,0.8616781000018818
8,0.01,64,Tanh,500,0.8679156511857625,0.8645335366598955,0.8739021329987453,0.8639668000105303
8,0.01,64,Tanh,1000,0.8679156511857625,0.8645335366598955,0.8739021329987453,0.7934485000005225
8,0.01,64,Sigmoid,50,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.0171744000108447
8,0.01,64,Sigmoid,100,0.8940521641262734,0.8891321257392814,0.8971141781681304,0.9858376999909524
8,0.01,64,Sigmoid,300,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.007789800001774
8,0.01,64,Sigmoid,500,0.8940521641262734,0.8891321257392814,0.8971141781681304,0.9775974999938626
8,0.01,64,Sigmoid,1000,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.0610523000068497
8,0.01,64,GELU,50,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.9683007999992697
8,0.01,64,GELU,100,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.8497103999980027
8,0.01,64,GELU,300,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.9215423999994528
8,0.01,64,GELU,500,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.9457021999987774
8,0.01,64,GELU,1000,0.8820173793711326,0.8768734126797456,0.8848808030112923,0.8989892999961739
8,0.01,64,Softmax,50,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.0709662000008393
8,0.01,64,Softmax,100,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.033359399996698
8,0.01,64,Softmax,300,0.8940521641262734,0.8891321257392814,0.8971141781681304,1.0389461000013398
8,0.01,64,Softmax,500,0.8940521641262734,0.8891321257392814,0.8971141781681304,0.9750530000019353
8,0.01,64,Softmax,1000,0.8940521641262734,0.8891321257392814,0.8971141781681304,0.9875111000001198
8,0.01,128,ReLU,50,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.7079167999909259
8,0.01,128,ReLU,100,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6892413000023225
8,0.01,128,ReLU,300,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6293941000039922
8,0.01,128,ReLU,500,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6603775000112364
8,0.01,128,ReLU,1000,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.7078114000032656
8,0.01,128,Tanh,50,0.8717725550815622,0.8675371592449177,0.8773525721455459,0.6606560999935027
8,0.01,128,Tanh,100,0.8717725550815622,0.8675371592449177,0.8773525721455459,0.5906739000056405
8,0.01,128,Tanh,300,0.8717725550815622,0.8675371592449177,0.8773525721455459,0.6074560999986716
8,0.01,128,Tanh,500,0.8717725550815622,0.8675371592449177,0.8773525721455459,0.6424264000088442
8,0.01,128,Tanh,1000,0.8717725550815622,0.8675371592449177,0.8773525721455459,0.6577240000042366
8,0.01,128,Sigmoid,50,0.8913815862173223,0.8866043772294159,0.8958594730238394,0.7327987999888137
8,0.01,128,Sigmoid,100,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.8925142000080086
8,0.01,128,Sigmoid,300,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.857966800002032
8,0.01,128,Sigmoid,500,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.8389158000063617
8,0.01,128,Sigmoid,1000,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.8704428999917582
8,0.01,128,GELU,50,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.7334755000047153
8,0.01,128,GELU,100,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6805061000050046
8,0.01,128,GELU,300,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6349543999967864
8,0.01,128,GELU,500,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.668776299993624
8,0.01,128,GELU,1000,0.8517085224743329,0.8475934421554667,0.8572772898368883,0.6375799999950686
8,0.01,128,Softmax,50,0.8913815862173223,0.8866043772294159,0.8958594730238394,0.7139895000000251
8,0.01,128,Softmax,100,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.861103400005959
8,0.01,128,Softmax,300,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.9701504999975441
8,0.01,128,Softmax,500,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.8262176999996882
8,0.01,128,Softmax,1000,0.8921872256936568,0.8879859358403777,0.8971141781681304,0.915259999994305
8,0.001,8,ReLU,50,0.8905566503155103,0.886751948912932,0.894918444165621,5.454421400005231
8,0.001,8,ReLU,100,0.8905566503155103,0.886751948912932,0.894918444165621,5.833235900005093
8,0.001,8,ReLU,300,0.8905566503155103,0.886751948912932,0.894918444165621,5.7905831999960355
8,0.001,8,ReLU,500,0.8905566503155103,0.886751948912932,0.894918444165621,5.8980741999985185
8,0.001,8,ReLU,1000,0.8905566503155103,0.886751948912932,0.894918444165621,5.756677299999865
8,0.001,8,Tanh,50,0.8526889521594619,0.8456902658616537,0.85633626097867,5.5508077000122285
8,0.001,8,Tanh,100,0.8520177616795054,0.8453844469185575,0.8560225846925973,7.027839199989103
8,0.001,8,Tanh,300,0.8520177616795054,0.8453844469185575,0.8560225846925973,6.967417599997134
8,0.001,8,Tanh,500,0.8520177616795054,0.8453844469185575,0.8560225846925973,7.249618100002408
8,0.001,8,Tanh,1000,0.8520177616795054,0.8453844469185575,0.8560225846925973,7.125401400000555
8,0.001,8,Sigmoid,50,0.870865453733018,0.8624677910398596,0.8707653701380176,6.073615399989649
