Dataset,Dataset_Type,MLP_BA,Accuracy,F1,Time,Hyperparameters
analcatdata_bankruptcy,top,0.8999999999999999,0.9,0.8996386993175431,0.0557706000399775,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_creditscore,top,0.8759512937595129,0.87,0.8466800330227622,0.1823495000135153,"Hidden_Neurons=16, Learning_Rate=0.001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_lawsuit,top,0.9412459720730396,0.981060606060606,0.930784961459808,0.1091793000232428,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
ann_thyroid,top,0.93994962290886,0.9884722222222222,0.9331659505334052,7.037385900039226,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
cars,top,0.7357621529624508,0.8163265306122449,0.7331346358047478,0.4236764999805018,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
chess,top,0.994057239314861,0.9940550688360452,0.9940434752541436,0.9408922999864444,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
clean1,top,0.9546540236697018,0.953781512605042,0.9531328320802004,0.4771580999949947,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
clean2,top,0.9997312309621932,0.9995453167626552,0.999129202327952,3.056899200018961,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=Sigmoid, Epochs=50"
collins,top,0.7366153565088657,0.7814432989690722,0.7394185549547093,0.6224263999611139,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
confidence,top,0.8333333333333334,0.8333333333333334,0.8253726708074534,0.097201100026723,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
corral,top,0.9095238095238096,0.9125,0.910813823857302,0.1523963999934494,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
dermatology,top,0.9744890214737988,0.9754098360655736,0.9743161671844648,0.2430086000240408,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
dna,top,0.9523543680461078,0.9541745134965474,0.948625883213039,3.4488729999866337,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
ecoli,top,0.8525774225774226,0.8837920489296636,0.8533902062849432,0.2772540000150911,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
iris,top,0.9466666666666668,0.9466666666666668,0.9467683905964072,0.1064457000466063,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
irish,top,0.9964028776978416,0.996,0.9959527933820076,0.2469875999959185,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
kr_vs_kp,top,0.9946564004892168,0.9946808510638298,0.9946701809020964,0.6246442999690771,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=ReLU, Epochs=50"
labor,top,0.8844594594594595,0.8947368421052632,0.8844594594594595,0.0576905999914743,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
mfeat_factors,top,0.9774999999999998,0.9775,0.97747862428557,1.7695078999968246,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
