"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"57","cars.tsv.gz","LogisticRegression","0.774423664","0.739795918","0.655601873","cars.tsv.gz"
"58","analcatdata_asbestos.tsv.gz","LogisticRegression","0.769976498","0.78313253","0.773636364","analcatdata_asbestos.tsv.gz"
"59","sonar.tsv.gz","LogisticRegression","0.767530417","0.769230769","0.767857143","sonar.tsv.gz"
"60","ring.tsv.gz","LogisticRegression","0.765677452","0.766756757","0.763441762","ring.tsv.gz"
"61","lymphography.tsv.gz","LogisticRegression","0.764328722","0.831081081","0.633927673","lymphography.tsv.gz"
"62","molecular_biology_promoters.tsv.gz","LogisticRegression","0.764150943","0.764150943","0.763961878","molecular_biology_promoters.tsv.gz"
"63","xd6.tsv.gz","LogisticRegression","0.759834369","0.808838643","0.772024367","xd6.tsv.gz"
"64","irish.tsv.gz","LogisticRegression","0.754261456","0.756","0.753535354","irish.tsv.gz"
"65","analcatdata_cyyoung9302.tsv.gz","LogisticRegression","0.748377794","0.847826087","0.758258258","analcatdata_cyyoung9302.tsv.gz"
"66","nursery.tsv.gz","LogisticRegression","0.74172232","0.750578793","0.56876126","nursery.tsv.gz"
"67","lupus.tsv.gz","LogisticRegression","0.741483516","0.735632184","0.73209265","lupus.tsv.gz"
"68","adult.tsv.gz","LogisticRegression","0.739658003","0.776974735","0.718018821","adult.tsv.gz"
"69","phoneme.tsv.gz","LogisticRegression","0.73330963","0.717431532","0.69618737","phoneme.tsv.gz"
"70","vowel.tsv.gz","LogisticRegression","0.732777778","0.514141414","0.500556878","vowel.tsv.gz"
"71","sleep.tsv.gz","LogisticRegression","0.728319079","0.628583299","0.516128364","sleep.tsv.gz"
"72","hepatitis.tsv.gz","LogisticRegression","0.724339431","0.819354839","0.724339431","hepatitis.tsv.gz"
"73","page_blocks.tsv.gz","LogisticRegression","0.723568469","0.514891284","0.289415445","page_blocks.tsv.gz"
"74","calendarDOW.tsv.gz","LogisticRegression","0.711171622","0.56641604","0.531790597","calendarDOW.tsv.gz"
"75","appendicitis.tsv.gz","LogisticRegression","0.704201681","0.698113208","0.635268817","appendicitis.tsv.gz"
"76","magic.tsv.gz","LogisticRegression","0.703886357","0.681861199","0.675986836","magic.tsv.gz"
"77","spect.tsv.gz","LogisticRegression","0.703344768","0.838951311","0.724709267","spect.tsv.gz"
"78","shuttle.tsv.gz","LogisticRegression","0.69921916","0.936948276","0.454736228","shuttle.tsv.gz"
"79","ann_thyroid.tsv.gz","LogisticRegression","0.679621948","0.77375","0.365008945","ann_thyroid.tsv.gz"
"80","analcatdata_happiness.tsv.gz","LogisticRegression","0.675","0.566666667","0.481700611","analcatdata_happiness.tsv.gz"
"81","glass2.tsv.gz","LogisticRegression","0.673018754","0.668711656","0.668599398","glass2.tsv.gz"
"82","yeast.tsv.gz","LogisticRegression","0.651818606","0.459770115","0.320326759","yeast.tsv.gz"
"83","fars.tsv.gz","LogisticRegression","0.651128559","0.675124792","0.353155605","fars.tsv.gz"
"84","hayes_roth.tsv.gz","LogisticRegression","0.650506986","0.4875","0.445633593","hayes_roth.tsv.gz"
"85","saheart.tsv.gz","LogisticRegression","0.64490894","0.647186147","0.631609586","saheart.tsv.gz"
"86","car_evaluation.tsv.gz","LogisticRegression","0.637327079","0.712962963","0.37720932","car_evaluation.tsv.gz"
"87","allbp.tsv.gz","LogisticRegression","0.637020441","0.908801697","0.441116219","allbp.tsv.gz"
"88","analcatdata_lawsuit.tsv.gz","LogisticRegression","0.626638024","0.757575758","0.538007219","analcatdata_lawsuit.tsv.gz"
"89","breast_cancer.tsv.gz","LogisticRegression","0.624465906","0.72027972","0.632130684","breast_cancer.tsv.gz"
"90","allhypo.tsv.gz","LogisticRegression","0.619413293","0.877984085","0.464045636","allhypo.tsv.gz"
"91","churn.tsv.gz","LogisticRegression","0.612619273","0.7152","0.569013943","churn.tsv.gz"
"92","allhyper.tsv.gz","LogisticRegression","0.609994087","0.92442323","0.33355217","allhyper.tsv.gz"
"93","mux6.tsv.gz","LogisticRegression","0.609375","0.609375","0.609279609","mux6.tsv.gz"
"94","flags.tsv.gz","LogisticRegression","0.6093594","0.443820225","0.356400881","flags.tsv.gz"
"95","bupa.tsv.gz","LogisticRegression","0.608946342","0.608695652","0.608695652","bupa.tsv.gz"
"96","tae.tsv.gz","LogisticRegression","0.606611583","0.476821192","0.471425852","tae.tsv.gz"
"97","hypothyroid.tsv.gz","LogisticRegression","0.598541815","0.870376225","0.554812908","hypothyroid.tsv.gz"
"98","monk1.tsv.gz","LogisticRegression","0.597122302","0.597122302","0.597038878","monk1.tsv.gz"
"99","cloud.tsv.gz","LogisticRegression","0.596620457","0.398148148","0.369042708","cloud.tsv.gz"
"100","profb.tsv.gz","LogisticRegression","0.595982143","0.601190476","0.581996435","profb.tsv.gz"
"101","analcatdata_germangss.tsv.gz","LogisticRegression","0.586666667","0.38","0.336415425","analcatdata_germangss.tsv.gz"
"102","analcatdata_boxing2.tsv.gz","LogisticRegression","0.57203879","0.568181818","0.568157034","analcatdata_boxing2.tsv.gz"
"103","analcatdata_boxing1.tsv.gz","LogisticRegression","0.566849817","0.558333333","0.54928779","analcatdata_boxing1.tsv.gz"
"104","wine_quality_red.tsv.gz","LogisticRegression","0.566116763","0.507817386","0.261942388","wine_quality_red.tsv.gz"
"105","wine_quality_white.tsv.gz","LogisticRegression","0.562938223","0.425888118","0.220455704","wine_quality_white.tsv.gz"
"106","tic_tac_toe.tsv.gz","LogisticRegression","0.560139921","0.629436326","0.559812737","tic_tac_toe.tsv.gz"
"107","analcatdata_fraud.tsv.gz","LogisticRegression","0.554376658","0.619047619","0.554376658","analcatdata_fraud.tsv.gz"
"108","backache.tsv.gz","LogisticRegression","0.549677419","0.744444444","0.54","backache.tsv.gz"
"109","krkopt.tsv.gz","LogisticRegression","0.548627497","0.24750499","0.111030328","krkopt.tsv.gz"
"110","haberman.tsv.gz","LogisticRegression","0.534320988","0.483660131","0.472758997","haberman.tsv.gz"
"111","analcatdata_dmft.tsv.gz","LogisticRegression","0.534097442","0.230865747","0.207913309","analcatdata_dmft.tsv.gz"
"112","schizo.tsv.gz","LogisticRegression","0.532066896","0.517647059","0.368569867","schizo.tsv.gz"
"113","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","LogisticRegression","0.525","0.525","0.524874537","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"114","analcatdata_aids.tsv.gz","LogisticRegression","0.52","0.52","0.5","analcatdata_aids.tsv.gz"
"115","allrep.tsv.gz","LogisticRegression","0.519922073","0.904294804","0.27102046","allrep.tsv.gz"
"116","poker.tsv.gz","LogisticRegression","0.518219993","0.41943981","0.068505304","poker.tsv.gz"
"117","connect_4.tsv.gz","LogisticRegression","0.506949324","0.660553311","0.284367155","connect_4.tsv.gz"
"118","coil2000.tsv.gz","LogisticRegression","0.50615044","0.9368764","0.499312645","coil2000.tsv.gz"
"119","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","LogisticRegression","0.500625","0.500625","0.500357809","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"120","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","LogisticRegression","0.49875","0.49875","0.497788736","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"121","dis.tsv.gz","LogisticRegression","0.489373851","0.930275716","0.489420003","dis.tsv.gz"
"122","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","LogisticRegression","0.48875","0.48875","0.488653324","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"123","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","LogisticRegression","0.4875","0.4875","0.487492793","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"124","monk2.tsv.gz","LogisticRegression","0.478818975","0.59733777","0.442135383","monk2.tsv.gz"
"125","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","LogisticRegression","0.478125","0.478125","0.477414406","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"126","postoperative_patient_data.tsv.gz","LogisticRegression","0.4609375","0.670454545","0.401360544","postoperative_patient_data.tsv.gz"
"127","parity5+5.tsv.gz","LogisticRegression","0.37928212","0.379893238","0.376656071","parity5+5.tsv.gz"
"128","parity5.tsv.gz","LogisticRegression","0.09375","0.09375","0.092864125","parity5.tsv.gz"
