rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
28,breast_cancer,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.702797203,0.524926228,0.54413228,breast_cancer.tsv.gz
29,spectf,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.690544413,0.512267081,0.523829258,spectf.tsv.gz
30,labor,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.684210526,0.644736842,0.641891892,labor.tsv.gz
31,molecular_biology_promoters,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.679245283,0.664806548,0.679245283,molecular_biology_promoters.tsv.gz
32,adult,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.674542402,0.552481362,0.552420213,adult.tsv.gz
33,analcatdata_authorship,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.674197384,0.652671071,0.767264338,analcatdata_authorship.tsv.gz
34,phoneme,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.668948927,0.568935018,0.566671148,phoneme.tsv.gz
35,analcatdata_cyyoung8092,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.659793814,0.59008836,0.606164384,analcatdata_cyyoung8092.tsv.gz
36,spambase,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.656161704,0.650897344,0.659766741,spambase.tsv.gz
37,biomed,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.645933014,0.593598907,0.591791045,biomed.tsv.gz
38,analcatdata_fraud,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.642857143,0.550962224,0.550397878,analcatdata_fraud.tsv.gz
39,vowel,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.63030303,0.629491036,0.796666667,vowel.tsv.gz
40,profb,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.619047619,0.510894782,0.520089286,profb.tsv.gz
41,saheart,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.614718615,0.54576788,0.54660596,saheart.tsv.gz
42,optdigits,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.612989324,0.610040894,0.785193216,optdigits.tsv.gz
43,waveform_21,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.6078,0.607533312,0.705575749,waveform_21.tsv.gz
44,cars,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.599489796,0.506727537,0.651873835,cars.tsv.gz
45,mfeat_factors,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.5965,0.59573718,0.775833333,mfeat_factors.tsv.gz
46,analcatdata_japansolvent,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.596153846,0.59600444,0.596296296,analcatdata_japansolvent.tsv.gz
47,glass2,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.595092025,0.577786499,0.584089534,glass2.tsv.gz
