,LogisticRegression,RandomForest,XGB,MLP
LogisticRegression,1.0,0.6761782023082592,0.6985903221691796,0.7815864987830498
RandomForest,0.6761782023082592,1.0,0.7386585163172951,0.8251846200243734
XGB,0.6985903221691796,0.7386585163172951,1.0,0.6803051180668124
MLP,0.7815864987830498,0.8251846200243734,0.6803051180668124,1.0
