,count,mean,std,median,min,max
LogisticRegression,73.0,0.7826446240684931,0.1788218795784886,0.844,0.478125,1.0
RandomForest,71.0,0.8195532200422535,0.19432660271699856,0.925,0.475,1.0
XGB,65.0,0.6575397504615385,0.1604378865858807,0.58,0.483516484,1.0
MLP,73.0,0.8189335149856338,0.18418595673964291,0.8844594594594595,0.2337344744016184,1.0
