,count,mean,std,median,min,max
LogisticRegression,128.0,0.7368284238984375,0.17119495574317525,0.751319625,0.09375,1.0
RandomForest,125.0,0.784094965512,0.18594476630588663,0.827291417,0.0,1.0
XGB,99.0,0.6185467438585859,0.14212246831092146,0.561263144,0.463256457,1.0
MLP,73.0,0.8189335149856338,0.18418595673964291,0.8844594594594595,0.2337344744016184,1.0
