,LogisticRegression,RandomForest,XGB,MLP
LogisticRegression,1.0,0.7981544577091627,0.7440056900801888,0.7815864987830498
RandomForest,0.7981544577091627,1.0,0.7548680472453866,0.8251846200243734
XGB,0.7440056900801888,0.7548680472453866,1.0,0.6803051180668124
MLP,0.7815864987830498,0.8251846200243734,0.6803051180668124,1.0
