"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"58","mfeat_morphological.tsv.gz","RandomForestClassifier","0.856944444","0.7425","0.72567114","mfeat_morphological.tsv.gz"
"59","led7.tsv.gz","RandomForestClassifier","0.854970087","0.7425","0.735232197","led7.tsv.gz"
"60","sonar.tsv.gz","RandomForestClassifier","0.851862171","0.855769231","0.853823088","sonar.tsv.gz"
"61","page_blocks.tsv.gz","RandomForestClassifier","0.850359599","0.969303855","0.792187021","page_blocks.tsv.gz"
"62","led24.tsv.gz","RandomForestClassifier","0.843628473","0.71875","0.717957836","led24.tsv.gz"
"63","vehicle.tsv.gz","RandomForestClassifier","0.827291417","0.738770686","0.733984089","vehicle.tsv.gz"
"64","nursery.tsv.gz","RandomForestClassifier","0.824986399","0.895277049","0.679698203","nursery.tsv.gz"
"65","churn.tsv.gz","RandomForestClassifier","0.818429791","0.9408","0.861046642","churn.tsv.gz"
"66","prnn_synth.tsv.gz","RandomForestClassifier","0.816","0.816","0.815952884","prnn_synth.tsv.gz"
"67","hypothyroid.tsv.gz","RandomForestClassifier","0.815224752","0.977552956","0.859163824","hypothyroid.tsv.gz"
"68","analcatdata_asbestos.tsv.gz","RandomForestClassifier","0.80493537","0.807228916","0.80493537","analcatdata_asbestos.tsv.gz"
"69","tic_tac_toe.tsv.gz","RandomForestClassifier","0.799698795","0.861169102","0.826750155","tic_tac_toe.tsv.gz"
"70","magic.tsv.gz","RandomForestClassifier","0.791584154","0.839064143","0.809329883","magic.tsv.gz"
"71","monk1.tsv.gz","RandomForestClassifier","0.78057554","0.78057554","0.769855057","monk1.tsv.gz"
"72","phoneme.tsv.gz","RandomForestClassifier","0.77282214","0.81180607","0.772972982","phoneme.tsv.gz"
"73","appendicitis.tsv.gz","RandomForestClassifier","0.768067227","0.886792453","0.799242424","appendicitis.tsv.gz"
"74","balance_scale.tsv.gz","RandomForestClassifier","0.765506512","0.856","0.594946735","balance_scale.tsv.gz"
"75","allhypo.tsv.gz","RandomForestClassifier","0.753506339","0.958355438","0.738554688","allhypo.tsv.gz"
"76","tae.tsv.gz","RandomForestClassifier","0.75127414","0.668874172","0.668073965","tae.tsv.gz"
"77","calendarDOW.tsv.gz","RandomForestClassifier","0.747579126","0.619047619","0.592113465","calendarDOW.tsv.gz"
"78","lymphography.tsv.gz","RandomForestClassifier","0.745457743","0.858108108","0.599404762","lymphography.tsv.gz"
