"global_rank","classifier","rank","dataset","balanced_accuracy","accuracy","macro_f1","source_file"
"235","LogisticRegression","100","profb.tsv.gz","0.595982143","0.601190476","0.581996435","profb.tsv.gz"
"236","XGBClassifier","36","biomed.tsv.gz","0.591791045","0.645933014","0.593598907","biomed.tsv.gz"
"237","XGBClassifier","37","mfeat_morphological.tsv.gz","0.587222222","0.257","0.251972174","mfeat_morphological.tsv.gz"
"238","LogisticRegression","101","analcatdata_germangss.tsv.gz","0.586666667","0.38","0.336415425","analcatdata_germangss.tsv.gz"
"239","XGBClassifier","38","xd6.tsv.gz","0.585303546","0.58684481","0.56918451","xd6.tsv.gz"
"240","XGBClassifier","39","glass2.tsv.gz","0.584089534","0.595092025","0.577786499","glass2.tsv.gz"
"241","XGBClassifier","40","iris.tsv.gz","0.58","0.44","0.431935796","iris.tsv.gz"
"242","XGBClassifier","41","twonorm.tsv.gz","0.575859071","0.575810811","0.574326324","twonorm.tsv.gz"
"243","LogisticRegression","102","analcatdata_boxing2.tsv.gz","0.57203879","0.568181818","0.568157034","analcatdata_boxing2.tsv.gz"
"244","RandomForestClassifier","101","bupa.tsv.gz","0.571779182","0.571014493","0.570722357","bupa.tsv.gz"
"245","XGBClassifier","42","cloud.tsv.gz","0.570028587","0.361111111","0.354405154","cloud.tsv.gz"
"246","XGBClassifier","43","kr_vs_kp.tsv.gz","0.568970043","0.561952441","0.554104582","kr_vs_kp.tsv.gz"
"247","LogisticRegression","103","analcatdata_boxing1.tsv.gz","0.566849817","0.558333333","0.54928779","analcatdata_boxing1.tsv.gz"
"248","RandomForestClassifier","102","Hill_Valley_with_noise.tsv.gz","0.566831683","0.566831683","0.564690614","Hill_Valley_with_noise.tsv.gz"
"249","XGBClassifier","44","phoneme.tsv.gz","0.566671148","0.668948927","0.568935018","phoneme.tsv.gz"
"250","LogisticRegression","104","wine_quality_red.tsv.gz","0.566116763","0.507817386","0.261942388","wine_quality_red.tsv.gz"
"251","XGBClassifier","45","balance_scale.tsv.gz","0.56592237","0.5424","0.397859945","balance_scale.tsv.gz"
"252","XGBClassifier","46","lupus.tsv.gz","0.56510989","0.586206897","0.565482797","lupus.tsv.gz"
"253","XGBClassifier","47","corral.tsv.gz","0.565079365","0.575","0.565217391","corral.tsv.gz"
"254","XGBClassifier","48","mofn_3_7_10.tsv.gz","0.563050865","0.590634441","0.528091897","mofn_3_7_10.tsv.gz"
"255","LogisticRegression","105","wine_quality_white.tsv.gz","0.562938223","0.425888118","0.220455704","wine_quality_white.tsv.gz"
"256","XGBClassifier","49","yeast.tsv.gz","0.562809545","0.310344828","0.211824881","yeast.tsv.gz"
"257","RandomForestClassifier","103","allhyper.tsv.gz","0.561766182","0.977989923","0.351963523","allhyper.tsv.gz"
"258","XGBClassifier","50","connect_4.tsv.gz","0.561263144","0.525793034","0.396066509","connect_4.tsv.gz"
"259","XGBClassifier","51","allhyper.tsv.gz","0.560258613","0.952267303","0.315940886","allhyper.tsv.gz"
"260","LogisticRegression","106","tic_tac_toe.tsv.gz","0.560139921","0.629436326","0.559812737","tic_tac_toe.tsv.gz"
"261","RandomForestClassifier","104","Hill_Valley_without_noise.tsv.gz","0.55995098","0.561056106","0.554946921","Hill_Valley_without_noise.tsv.gz"
"262","XGBClassifier","52","hypothyroid.tsv.gz","0.558824305","0.878596269","0.536853665","hypothyroid.tsv.gz"
"263","XGBClassifier","53","churn.tsv.gz","0.55853152","0.7826","0.55779843","churn.tsv.gz"
"264","RandomForestClassifier","105","wine_quality_white.tsv.gz","0.555527446","0.548182932","0.214816469","wine_quality_white.tsv.gz"
"265","XGBClassifier","54","ionosphere.tsv.gz","0.555079365","0.584045584","0.554072398","ionosphere.tsv.gz"
"266","LogisticRegression","107","analcatdata_fraud.tsv.gz","0.554376658","0.619047619","0.554376658","analcatdata_fraud.tsv.gz"
"267","XGBClassifier","55","appendicitis.tsv.gz","0.553781513","0.801886792","0.554354354","appendicitis.tsv.gz"
"268","XGBClassifier","56","adult.tsv.gz","0.552420213","0.674542402","0.552481362","adult.tsv.gz"
"269","XGBClassifier","57","analcatdata_fraud.tsv.gz","0.550397878","0.642857143","0.550962224","analcatdata_fraud.tsv.gz"
"270","LogisticRegression","108","backache.tsv.gz","0.549677419","0.744444444","0.54","backache.tsv.gz"
"271","RandomForestClassifier","106","haberman.tsv.gz","0.548641975","0.725490196","0.541","haberman.tsv.gz"
"272","LogisticRegression","109","krkopt.tsv.gz","0.548627497","0.24750499","0.111030328","krkopt.tsv.gz"
"273","XGBClassifier","58","analcatdata_boxing2.tsv.gz","0.548603094","0.545454545","0.545454545","analcatdata_boxing2.tsv.gz"
"274","XGBClassifier","59","saheart.tsv.gz","0.54660596","0.614718615","0.54576788","saheart.tsv.gz"
"275","RandomForestClassifier","107","profb.tsv.gz","0.544642857","0.671130952","0.520085311","profb.tsv.gz"
"276","XGBClassifier","60","breast_cancer.tsv.gz","0.54413228","0.702797203","0.524926228","breast_cancer.tsv.gz"
"277","XGBClassifier","61","led24.tsv.gz","0.542907032","0.1771875","0.158919665","led24.tsv.gz"
"278","XGBClassifier","62","threeOf9.tsv.gz","0.542645525","0.552734375","0.537474112","threeOf9.tsv.gz"
"279","XGBClassifier","63","led7.tsv.gz","0.542610188","0.1771875","0.159746616","led7.tsv.gz"
"280","XGBClassifier","64","car_evaluation.tsv.gz","0.541219428","0.58275463","0.292674529","car_evaluation.tsv.gz"
"281","XGBClassifier","65","chess.tsv.gz","0.540572472","0.531914894","0.517842744","chess.tsv.gz"
"282","LogisticRegression","110","haberman.tsv.gz","0.534320988","0.483660131","0.472758997","haberman.tsv.gz"
"283","XGBClassifier","66","allrep.tsv.gz","0.534134897","0.936638388","0.299593302","allrep.tsv.gz"
"284","XGBClassifier","67","ring.tsv.gz","0.534129454","0.533513514","0.531933061","ring.tsv.gz"
"285","LogisticRegression","111","analcatdata_dmft.tsv.gz","0.534097442","0.230865747","0.207913309","analcatdata_dmft.tsv.gz"
"286","LogisticRegression","112","schizo.tsv.gz","0.532066896","0.517647059","0.368569867","schizo.tsv.gz"
"287","XGBClassifier","68","analcatdata_germangss.tsv.gz","0.531666667","0.2975","0.291639405","analcatdata_germangss.tsv.gz"
"288","RandomForestClassifier","108","analcatdata_germangss.tsv.gz","0.526666667","0.29","0.289028044","analcatdata_germangss.tsv.gz"
"289","RandomForestClassifier","109","schizo.tsv.gz","0.525982496","0.547058824","0.359279249","schizo.tsv.gz"
"290","XGBClassifier","69","analcatdata_asbestos.tsv.gz","0.525558167","0.518072289","0.518002323","analcatdata_asbestos.tsv.gz"
"291","LogisticRegression","113","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","0.525","0.525","0.524874537","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"292","XGBClassifier","70","spectf.tsv.gz","0.523829258","0.690544413","0.512267081","spectf.tsv.gz"
"293","XGBClassifier","71","bupa.tsv.gz","0.521954008","0.52173913","0.52173913","bupa.tsv.gz"
"294","RandomForestClassifier","110","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","0.52125","0.52125","0.508059065","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"295","XGBClassifier","72","profb.tsv.gz","0.520089286","0.619047619","0.510894782","profb.tsv.gz"
"296","LogisticRegression","114","analcatdata_aids.tsv.gz","0.52","0.52","0.5","analcatdata_aids.tsv.gz"
"297","XGBClassifier","73","analcatdata_aids.tsv.gz","0.52","0.52","0.516908213","analcatdata_aids.tsv.gz"
"298","LogisticRegression","115","allrep.tsv.gz","0.519922073","0.904294804","0.27102046","allrep.tsv.gz"
"299","XGBClassifier","74","krkopt.tsv.gz","0.519802876","0.121934702","0.08328927","krkopt.tsv.gz"
"300","XGBClassifier","75","allhypo.tsv.gz","0.518247157","0.836870027","0.34956802","allhypo.tsv.gz"
"301","LogisticRegression","116","poker.tsv.gz","0.518219993","0.41943981","0.068505304","poker.tsv.gz"
"302","XGBClassifier","76","monk2.tsv.gz","0.517782967","0.589018303","0.515583547","monk2.tsv.gz"
"303","XGBClassifier","77","Hill_Valley_without_noise.tsv.gz","0.517647059","0.51650165","0.51051835","Hill_Valley_without_noise.tsv.gz"
"304","RandomForestClassifier","111","analcatdata_dmft.tsv.gz","0.517480272","0.195734003","0.195647176","analcatdata_dmft.tsv.gz"
"305","RandomForestClassifier","112","backache.tsv.gz","0.516774194","0.861111111","0.499499499","backache.tsv.gz"
"306","XGBClassifier","78","schizo.tsv.gz","0.516613408","0.552941176","0.330585082","schizo.tsv.gz"
"307","XGBClassifier","79","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","0.515","0.515","0.503061042","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"308","RandomForestClassifier","113","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","0.5125","0.5125","0.504918288","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"309","XGBClassifier","80","analcatdata_happiness.tsv.gz","0.5125","0.35","0.339108495","analcatdata_happiness.tsv.gz"
"310","XGBClassifier","81","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","0.509375","0.509375","0.50243218","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"311","XGBClassifier","82","sonar.tsv.gz","0.5092412","0.519230769","0.50263032","sonar.tsv.gz"
"312","XGBClassifier","83","mux6.tsv.gz","0.5078125","0.5078125","0.462937063","mux6.tsv.gz"
"313","XGBClassifier","84","monk1.tsv.gz","0.507194245","0.507194245","0.503797798","monk1.tsv.gz"
"314","LogisticRegression","117","connect_4.tsv.gz","0.506949324","0.660553311","0.284367155","connect_4.tsv.gz"
"315","XGBClassifier","85","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","0.50625","0.50625","0.496910617","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"316","RandomForestClassifier","114","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","0.50625","0.50625","0.506098743","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"317","LogisticRegression","118","coil2000.tsv.gz","0.50615044","0.9368764","0.499312645","coil2000.tsv.gz"
"318","XGBClassifier","86","tic_tac_toe.tsv.gz","0.506072212","0.520876827","0.500167663","tic_tac_toe.tsv.gz"
"319","XGBClassifier","87","analcatdata_dmft.tsv.gz","0.505924641","0.17565872","0.176117989","analcatdata_dmft.tsv.gz"
"320","RandomForestClassifier","115","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","0.504375","0.504375","0.493063788","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"321","XGBClassifier","88","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","0.503125","0.503125","0.503081326","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"322","XGBClassifier","89","parity5+5.tsv.gz","0.502716746","0.502669039","0.502668645","parity5+5.tsv.gz"
"323","XGBClassifier","90","spect.tsv.gz","0.502229846","0.573033708","0.483821734","spect.tsv.gz"
"324","LogisticRegression","119","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","0.500625","0.500625","0.500357809","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"325","RandomForestClassifier","116","dis.tsv.gz","0.5","0.984623542","0.496126102","dis.tsv.gz"
"326","RandomForestClassifier","117","coil2000.tsv.gz","0.5","0.940338017","0.484625879","coil2000.tsv.gz"
"327","RandomForestClassifier","118","connect_4.tsv.gz","0.5","0.658303359","0.26464935","connect_4.tsv.gz"
"328","RandomForestClassifier","119","monk2.tsv.gz","0.5","0.657237937","0.396586345","monk2.tsv.gz"
"329","RandomForestClassifier","120","parity5+5.tsv.gz","0.5","0.504448399","0.335304554","parity5+5.tsv.gz"
"330","XGBClassifier","91","Hill_Valley_with_noise.tsv.gz","0.499174917","0.499174917","0.484719503","Hill_Valley_with_noise.tsv.gz"
"331","RandomForestClassifier","121","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","0.49875","0.49875","0.495314988","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"332","LogisticRegression","120","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","0.49875","0.49875","0.497788736","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"333","XGBClassifier","92","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","0.498125","0.498125","0.457267183","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"334","XGBClassifier","93","coil2000.tsv.gz","0.497202666","0.924557117","0.489656933","coil2000.tsv.gz"
"335","XGBClassifier","94","backache.tsv.gz","0.495483871","0.766666667","0.495192308","backache.tsv.gz"
"336","XGBClassifier","95","allbp.tsv.gz","0.494366633","0.934517497","0.325414068","allbp.tsv.gz"
"337","XGBClassifier","96","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","0.4925","0.4925","0.468202679","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"338","LogisticRegression","121","dis.tsv.gz","0.489373851","0.930275716","0.489420003","dis.tsv.gz"
"339","LogisticRegression","122","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz","0.48875","0.48875","0.488653324","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz"
"340","LogisticRegression","123","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz","0.4875","0.4875","0.487492793","GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz"
"341","XGBClassifier","97","analcatdata_boxing1.tsv.gz","0.483516484","0.55","0.480102696","analcatdata_boxing1.tsv.gz"
"342","RandomForestClassifier","122","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz","0.479375","0.479375","0.441823455","GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz"
"343","LogisticRegression","124","monk2.tsv.gz","0.478818975","0.59733777","0.442135383","monk2.tsv.gz"
"344","LogisticRegression","125","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","0.478125","0.478125","0.477414406","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"345","RandomForestClassifier","123","analcatdata_happiness.tsv.gz","0.475","0.3","0.302788803","analcatdata_happiness.tsv.gz"
"346","XGBClassifier","98","parity5.tsv.gz","0.46875","0.46875","0.464039409","parity5.tsv.gz"
"347","XGBClassifier","99","dis.tsv.gz","0.463256457","0.878844115","0.472078053","dis.tsv.gz"
"348","LogisticRegression","126","postoperative_patient_data.tsv.gz","0.4609375","0.670454545","0.401360544","postoperative_patient_data.tsv.gz"
"349","RandomForestClassifier","124","postoperative_patient_data.tsv.gz","0.453125","0.659090909","0.397260274","postoperative_patient_data.tsv.gz"
"350","LogisticRegression","127","parity5+5.tsv.gz","0.37928212","0.379893238","0.376656071","parity5+5.tsv.gz"
"351","LogisticRegression","128","parity5.tsv.gz","0.09375","0.09375","0.092864125","parity5.tsv.gz"
"352","RandomForestClassifier","125","parity5.tsv.gz","0","0","0","parity5.tsv.gz"
