"global_rank","classifier","rank","dataset","balanced_accuracy","accuracy","macro_f1","source_file"
"58","RandomForestClassifier","32","new_thyroid.tsv.gz","0.945118635","0.962790698","0.948695225","new_thyroid.tsv.gz"
"59","RandomForestClassifier","33","analcatdata_lawsuit.tsv.gz","0.943286788","0.984848485","0.943286788","analcatdata_lawsuit.tsv.gz"
"60","LogisticRegression","21","segmentation.tsv.gz","0.941414141","0.8995671","0.898272145","segmentation.tsv.gz"
"61","RandomForestClassifier","34","twonorm.tsv.gz","0.940405038","0.940405405","0.940405317","twonorm.tsv.gz"
"62","LogisticRegression","22","pendigits.tsv.gz","0.934792161","0.882914847","0.88215158","pendigits.tsv.gz"
"63","RandomForestClassifier","35","cars.tsv.gz","0.93476079","0.941326531","0.919791672","cars.tsv.gz"
"64","RandomForestClassifier","36","car_evaluation.tsv.gz","0.933255801","0.94849537","0.871887868","car_evaluation.tsv.gz"
"65","RandomForestClassifier","37","tokyo1.tsv.gz","0.926140275","0.935349322","0.929371377","tokyo1.tsv.gz"
"66","LogisticRegression","23","spambase.tsv.gz","0.925921291","0.925885677","0.922923361","spambase.tsv.gz"
"67","RandomForestClassifier","38","ionosphere.tsv.gz","0.925396825","0.94017094","0.933654963","ionosphere.tsv.gz"
"68","RandomForestClassifier","39","confidence.tsv.gz","0.925","0.875","0.873695652","confidence.tsv.gz"
"69","LogisticRegression","24","labor.tsv.gz","0.922972973","0.929824561","0.922972973","labor.tsv.gz"
"70","RandomForestClassifier","40","satimage.tsv.gz","0.913328067","0.881895882","0.858358645","satimage.tsv.gz"
"71","RandomForestClassifier","41","spambase.tsv.gz","0.912716998","0.921104108","0.916575346","spambase.tsv.gz"
"72","LogisticRegression","25","tokyo1.tsv.gz","0.909242426","0.921793535","0.914158864","tokyo1.tsv.gz"
"73","RandomForestClassifier","42","ring.tsv.gz","0.905785968","0.90527027","0.905084931","ring.tsv.gz"
"74","RandomForestClassifier","43","movement_libras.tsv.gz","0.90327381","0.819444444","0.818329296","movement_libras.tsv.gz"
"75","XGBClassifier","7","agaricus_lepiota.tsv.gz","0.900968633","0.90092081","0.900811816","agaricus_lepiota.tsv.gz"
"76","RandomForestClassifier","44","analcatdata_bankruptcy.tsv.gz","0.9","0.9","0.899959984","analcatdata_bankruptcy.tsv.gz"
"77","LogisticRegression","26","iris.tsv.gz","0.9","0.866666667","0.861175259","iris.tsv.gz"
"78","RandomForestClassifier","45","letter.tsv.gz","0.897627658","0.8039","0.805773823","letter.tsv.gz"
"79","RandomForestClassifier","46","mofn_3_7_10.tsv.gz","0.897260274","0.954682779","0.928623798","mofn_3_7_10.tsv.gz"
"80","RandomForestClassifier","47","labor.tsv.gz","0.895945946","0.894736842","0.886904762","labor.tsv.gz"
"81","LogisticRegression","27","waveform_40.tsv.gz","0.89496012","0.8598","0.859774768","waveform_40.tsv.gz"
"82","LogisticRegression","28","waveform_21.tsv.gz","0.894529071","0.8596","0.859141573","waveform_21.tsv.gz"
"83","LogisticRegression","29","ecoli.tsv.gz","0.894337925","0.868501529","0.821513744","ecoli.tsv.gz"
"84","RandomForestClassifier","48","ecoli.tsv.gz","0.892161596","0.874617737","0.830871691","ecoli.tsv.gz"
"85","LogisticRegression","30","mfeat_zernike.tsv.gz","0.888333333","0.799","0.786198523","mfeat_zernike.tsv.gz"
"86","RandomForestClassifier","49","molecular_biology_promoters.tsv.gz","0.886792453","0.886792453","0.886792453","molecular_biology_promoters.tsv.gz"
"87","RandomForestClassifier","50","spectf.tsv.gz","0.885619561","0.905444126","0.881834505","spectf.tsv.gz"
"88","RandomForestClassifier","51","analcatdata_japansolvent.tsv.gz","0.884444444","0.884615385","0.884444444","analcatdata_japansolvent.tsv.gz"
"89","LogisticRegression","31","mfeat_fourier.tsv.gz","0.881944444","0.7875","0.780431734","mfeat_fourier.tsv.gz"
"90","LogisticRegression","32","analcatdata_bankruptcy.tsv.gz","0.88","0.88","0.879227053","analcatdata_bankruptcy.tsv.gz"
"91","XGBClassifier","8","analcatdata_lawsuit.tsv.gz","0.876369495","0.950757576","0.835435147","analcatdata_lawsuit.tsv.gz"
"92","RandomForestClassifier","52","waveform_40.tsv.gz","0.87202528","0.829","0.828487429","waveform_40.tsv.gz"
"93","RandomForestClassifier","53","mfeat_zernike.tsv.gz","0.871666667","0.769","0.763305422","mfeat_zernike.tsv.gz"
"94","RandomForestClassifier","54","biomed.tsv.gz","0.870945274","0.894736842","0.881860226","biomed.tsv.gz"
"95","RandomForestClassifier","55","glass2.tsv.gz","0.867664852","0.871165644","0.869575157","glass2.tsv.gz"
"96","RandomForestClassifier","56","waveform_21.tsv.gz","0.865425381","0.8208","0.819980796","waveform_21.tsv.gz"
"97","XGBClassifier","9","penguins.tsv.gz","0.863923974","0.843843844","0.820581434","penguins.tsv.gz"
"98","LogisticRegression","33","splice.tsv.gz","0.85938894","0.821518193","0.809154087","splice.tsv.gz"
"99","LogisticRegression","34","corral.tsv.gz","0.857936508","0.86875","0.863630829","corral.tsv.gz"
"100","RandomForestClassifier","57","hayes_roth.tsv.gz","0.857276203","0.79375","0.829293233","hayes_roth.tsv.gz"
"101","RandomForestClassifier","58","mfeat_morphological.tsv.gz","0.856944444","0.7425","0.72567114","mfeat_morphological.tsv.gz"
"102","RandomForestClassifier","59","led7.tsv.gz","0.854970087","0.7425","0.735232197","led7.tsv.gz"
"103","XGBClassifier","10","mfeat_karhunen.tsv.gz","0.853888889","0.737","0.736122634","mfeat_karhunen.tsv.gz"
"104","LogisticRegression","35","mfeat_morphological.tsv.gz","0.8525","0.7345","0.728412992","mfeat_morphological.tsv.gz"
"105","RandomForestClassifier","60","sonar.tsv.gz","0.851862171","0.855769231","0.853823088","sonar.tsv.gz"
"106","RandomForestClassifier","61","page_blocks.tsv.gz","0.850359599","0.969303855","0.792187021","page_blocks.tsv.gz"
"107","LogisticRegression","36","confidence.tsv.gz","0.85","0.75","0.733740596","confidence.tsv.gz"
"108","LogisticRegression","37","led24.tsv.gz","0.846074507","0.723125","0.718683438","led24.tsv.gz"
"109","LogisticRegression","38","Hill_Valley_without_noise.tsv.gz","0.844330065","0.843234323","0.841576039","Hill_Valley_without_noise.tsv.gz"
"110","LogisticRegression","39","prnn_synth.tsv.gz","0.844","0.844","0.843577032","prnn_synth.tsv.gz"
"111","RandomForestClassifier","62","led24.tsv.gz","0.843628473","0.71875","0.717957836","led24.tsv.gz"
"112","LogisticRegression","40","ionosphere.tsv.gz","0.842698413","0.863247863","0.848652533","ionosphere.tsv.gz"
"113","LogisticRegression","41","biomed.tsv.gz","0.840845771","0.837320574","0.828655478","biomed.tsv.gz"
"114","LogisticRegression","42","movement_libras.tsv.gz","0.84077381","0.702777778","0.691488029","movement_libras.tsv.gz"
"115","XGBClassifier","11","mfeat_pixel.tsv.gz","0.839722222","0.7115","0.710209325","mfeat_pixel.tsv.gz"
"116","LogisticRegression","43","vehicle.tsv.gz","0.839126852","0.756501182","0.74908664","vehicle.tsv.gz"
"117","LogisticRegression","44","analcatdata_creditscore.tsv.gz","0.834855403","0.81","0.786780384","analcatdata_creditscore.tsv.gz"
"118","XGBClassifier","12","confidence.tsv.gz","0.833333333","0.722222222","0.726103957","confidence.tsv.gz"
"119","RandomForestClassifier","63","vehicle.tsv.gz","0.827291417","0.738770686","0.733984089","vehicle.tsv.gz"
"120","LogisticRegression","45","analcatdata_japansolvent.tsv.gz","0.825925926","0.826923077","0.826345083","analcatdata_japansolvent.tsv.gz"
"121","RandomForestClassifier","64","nursery.tsv.gz","0.824986399","0.895277049","0.679698203","nursery.tsv.gz"
"122","LogisticRegression","46","satimage.tsv.gz","0.823436826","0.791763792","0.663444411","satimage.tsv.gz"
"123","LogisticRegression","47","led7.tsv.gz","0.820757954","0.6821875","0.644230009","led7.tsv.gz"
"124","RandomForestClassifier","65","churn.tsv.gz","0.818429791","0.9408","0.861046642","churn.tsv.gz"
"125","RandomForestClassifier","66","prnn_synth.tsv.gz","0.816","0.816","0.815952884","prnn_synth.tsv.gz"
"126","RandomForestClassifier","67","hypothyroid.tsv.gz","0.815224752","0.977552956","0.859163824","hypothyroid.tsv.gz"
"127","LogisticRegression","48","Hill_Valley_with_noise.tsv.gz","0.809405941","0.809405941","0.80742254","Hill_Valley_with_noise.tsv.gz"
"128","XGBClassifier","13","prnn_crabs.tsv.gz","0.805","0.805","0.803224097","prnn_crabs.tsv.gz"
"129","RandomForestClassifier","68","analcatdata_asbestos.tsv.gz","0.80493537","0.807228916","0.80493537","analcatdata_asbestos.tsv.gz"
"130","LogisticRegression","49","balance_scale.tsv.gz","0.802211459","0.8704","0.691732011","balance_scale.tsv.gz"
"131","RandomForestClassifier","69","tic_tac_toe.tsv.gz","0.799698795","0.861169102","0.826750155","tic_tac_toe.tsv.gz"
"132","XGBClassifier","14","vowel.tsv.gz","0.796666667","0.63030303","0.629491036","vowel.tsv.gz"
"133","LogisticRegression","50","collins.tsv.gz","0.795524773","0.649484536","0.618489632","collins.tsv.gz"
"134","LogisticRegression","51","analcatdata_cyyoung8092.tsv.gz","0.792522831","0.835051546","0.784444444","analcatdata_cyyoung8092.tsv.gz"
"135","RandomForestClassifier","70","magic.tsv.gz","0.791584154","0.839064143","0.809329883","magic.tsv.gz"
"136","XGBClassifier","15","optdigits.tsv.gz","0.785193216","0.612989324","0.610040894","optdigits.tsv.gz"
"137","LogisticRegression","52","monk3.tsv.gz","0.782477026","0.783393502","0.782756457","monk3.tsv.gz"
"138","LogisticRegression","53","threeOf9.tsv.gz","0.781435932","0.783203125","0.781803941","threeOf9.tsv.gz"
"139","LogisticRegression","54","letter.tsv.gz","0.780927714","0.58005","0.555641411","letter.tsv.gz"
"140","RandomForestClassifier","71","monk1.tsv.gz","0.78057554","0.78057554","0.769855057","monk1.tsv.gz"
"141","XGBClassifier","16","analcatdata_bankruptcy.tsv.gz","0.78","0.78","0.779911965","analcatdata_bankruptcy.tsv.gz"
"142","XGBClassifier","17","mfeat_factors.tsv.gz","0.775833333","0.5965","0.59573718","mfeat_factors.tsv.gz"
"143","LogisticRegression","55","new_thyroid.tsv.gz","0.774950335","0.525581395","0.533653846","new_thyroid.tsv.gz"
"144","LogisticRegression","56","spectf.tsv.gz","0.774575218","0.796561605","0.757546404","spectf.tsv.gz"
"145","LogisticRegression","57","cars.tsv.gz","0.774423664","0.739795918","0.655601873","cars.tsv.gz"
"146","RandomForestClassifier","72","phoneme.tsv.gz","0.77282214","0.81180607","0.772972982","phoneme.tsv.gz"
"147","LogisticRegression","58","analcatdata_asbestos.tsv.gz","0.769976498","0.78313253","0.773636364","analcatdata_asbestos.tsv.gz"
"148","RandomForestClassifier","73","appendicitis.tsv.gz","0.768067227","0.886792453","0.799242424","appendicitis.tsv.gz"
"149","LogisticRegression","59","sonar.tsv.gz","0.767530417","0.769230769","0.767857143","sonar.tsv.gz"
"150","XGBClassifier","18","analcatdata_authorship.tsv.gz","0.767264338","0.674197384","0.652671071","analcatdata_authorship.tsv.gz"
"151","LogisticRegression","60","ring.tsv.gz","0.765677452","0.766756757","0.763441762","ring.tsv.gz"
"152","RandomForestClassifier","74","balance_scale.tsv.gz","0.765506512","0.856","0.594946735","balance_scale.tsv.gz"
"153","LogisticRegression","61","lymphography.tsv.gz","0.764328722","0.831081081","0.633927673","lymphography.tsv.gz"
"154","LogisticRegression","62","molecular_biology_promoters.tsv.gz","0.764150943","0.764150943","0.763961878","molecular_biology_promoters.tsv.gz"
"155","XGBClassifier","19","mfeat_zernike.tsv.gz","0.763333333","0.574","0.571650107","mfeat_zernike.tsv.gz"
"156","LogisticRegression","63","xd6.tsv.gz","0.759834369","0.808838643","0.772024367","xd6.tsv.gz"
"157","LogisticRegression","64","irish.tsv.gz","0.754261456","0.756","0.753535354","irish.tsv.gz"
"158","RandomForestClassifier","75","allhypo.tsv.gz","0.753506339","0.958355438","0.738554688","allhypo.tsv.gz"
"159","XGBClassifier","20","mfeat_fourier.tsv.gz","0.751666667","0.553","0.552055536","mfeat_fourier.tsv.gz"
"160","RandomForestClassifier","76","tae.tsv.gz","0.75127414","0.668874172","0.668073965","tae.tsv.gz"
"161","LogisticRegression","65","analcatdata_cyyoung9302.tsv.gz","0.748377794","0.847826087","0.758258258","analcatdata_cyyoung9302.tsv.gz"
"162","RandomForestClassifier","77","calendarDOW.tsv.gz","0.747579126","0.619047619","0.592113465","calendarDOW.tsv.gz"
"163","RandomForestClassifier","78","lymphography.tsv.gz","0.745457743","0.858108108","0.599404762","lymphography.tsv.gz"
"164","LogisticRegression","66","nursery.tsv.gz","0.74172232","0.750578793","0.56876126","nursery.tsv.gz"
"165","LogisticRegression","67","lupus.tsv.gz","0.741483516","0.735632184","0.73209265","lupus.tsv.gz"
"166","LogisticRegression","68","adult.tsv.gz","0.739658003","0.776974735","0.718018821","adult.tsv.gz"
"167","RandomForestClassifier","79","yeast.tsv.gz","0.739647526","0.621365788","0.540988109","yeast.tsv.gz"
"168","LogisticRegression","69","phoneme.tsv.gz","0.73330963","0.717431532","0.69618737","phoneme.tsv.gz"
"169","LogisticRegression","70","vowel.tsv.gz","0.732777778","0.514141414","0.500556878","vowel.tsv.gz"
"170","LogisticRegression","71","sleep.tsv.gz","0.728319079","0.628583299","0.516128364","sleep.tsv.gz"
"171","XGBClassifier","21","tokyo1.tsv.gz","0.726385916","0.722627737","0.712382177","tokyo1.tsv.gz"
"172","LogisticRegression","72","hepatitis.tsv.gz","0.724339431","0.819354839","0.724339431","hepatitis.tsv.gz"
"173","RandomForestClassifier","80","adult.tsv.gz","0.723890595","0.84279923","0.751800887","adult.tsv.gz"
"174","LogisticRegression","73","page_blocks.tsv.gz","0.723568469","0.514891284","0.289415445","page_blocks.tsv.gz"
"175","RandomForestClassifier","81","sleep.tsv.gz","0.721317975","0.709124901","0.54964496","sleep.tsv.gz"
"176","RandomForestClassifier","82","hepatitis.tsv.gz","0.717479675","0.84516129","0.738470191","hepatitis.tsv.gz"
"177","RandomForestClassifier","83","analcatdata_cyyoung8092.tsv.gz","0.715753425","0.824742268","0.737127371","analcatdata_cyyoung8092.tsv.gz"
"178","RandomForestClassifier","84","lupus.tsv.gz","0.713461538","0.735632184","0.717572336","lupus.tsv.gz"
"179","RandomForestClassifier","85","shuttle.tsv.gz","0.712503069","0.99487931","0.426238948","shuttle.tsv.gz"
"180","LogisticRegression","74","calendarDOW.tsv.gz","0.711171622","0.56641604","0.531790597","calendarDOW.tsv.gz"
"181","RandomForestClassifier","86","analcatdata_cyyoung9302.tsv.gz","0.709444845","0.847826087","0.735197368","analcatdata_cyyoung9302.tsv.gz"
"182","XGBClassifier","22","waveform_21.tsv.gz","0.705575749","0.6078","0.607533312","waveform_21.tsv.gz"
"183","LogisticRegression","75","appendicitis.tsv.gz","0.704201681","0.698113208","0.635268817","appendicitis.tsv.gz"
"184","XGBClassifier","23","prnn_synth.tsv.gz","0.704","0.704","0.701689886","prnn_synth.tsv.gz"
"185","LogisticRegression","76","magic.tsv.gz","0.703886357","0.681861199","0.675986836","magic.tsv.gz"
"186","LogisticRegression","77","spect.tsv.gz","0.703344768","0.838951311","0.724709267","spect.tsv.gz"
"187","LogisticRegression","78","shuttle.tsv.gz","0.69921916","0.936948276","0.454736228","shuttle.tsv.gz"
"188","RandomForestClassifier","87","analcatdata_boxing1.tsv.gz","0.695970696","0.733333333","0.7","analcatdata_boxing1.tsv.gz"
"189","RandomForestClassifier","88","fars.tsv.gz","0.695904594","0.769778544","0.390991079","fars.tsv.gz"
"190","XGBClassifier","24","splice.tsv.gz","0.687073197","0.592848181","0.572995541","splice.tsv.gz"
"191","RandomForestClassifier","89","spect.tsv.gz","0.682118353","0.805243446","0.689534884","spect.tsv.gz"
"192","RandomForestClassifier","90","analcatdata_boxing2.tsv.gz","0.680096975","0.689393939","0.679668541","analcatdata_boxing2.tsv.gz"
"193","LogisticRegression","79","ann_thyroid.tsv.gz","0.679621948","0.77375","0.365008945","ann_thyroid.tsv.gz"
"194","XGBClassifier","25","molecular_biology_promoters.tsv.gz","0.679245283","0.679245283","0.664806548","molecular_biology_promoters.tsv.gz"
"195","LogisticRegression","80","analcatdata_happiness.tsv.gz","0.675","0.566666667","0.481700611","analcatdata_happiness.tsv.gz"
"196","LogisticRegression","81","glass2.tsv.gz","0.673018754","0.668711656","0.668599398","glass2.tsv.gz"
"197","RandomForestClassifier","91","flags.tsv.gz","0.665017039","0.52247191","0.455665999","flags.tsv.gz"
"198","XGBClassifier","26","spambase.tsv.gz","0.659766741","0.656161704","0.650897344","spambase.tsv.gz"
"199","RandomForestClassifier","92","allrep.tsv.gz","0.657716273","0.975609756","0.500098707","allrep.tsv.gz"
"200","RandomForestClassifier","93","allbp.tsv.gz","0.65258943","0.971367975","0.530077088","allbp.tsv.gz"
"201","RandomForestClassifier","94","cloud.tsv.gz","0.652365288","0.481481481","0.475519132","cloud.tsv.gz"
"202","XGBClassifier","27","cars.tsv.gz","0.651873835","0.599489796","0.506727537","cars.tsv.gz"
"203","LogisticRegression","82","yeast.tsv.gz","0.651818606","0.459770115","0.320326759","yeast.tsv.gz"
"204","XGBClassifier","28","waveform_40.tsv.gz","0.651372503","0.5344","0.531662268","waveform_40.tsv.gz"
"205","LogisticRegression","83","fars.tsv.gz","0.651128559","0.675124792","0.353155605","fars.tsv.gz"
"206","LogisticRegression","84","hayes_roth.tsv.gz","0.650506986","0.4875","0.445633593","hayes_roth.tsv.gz"
"207","LogisticRegression","85","saheart.tsv.gz","0.64490894","0.647186147","0.631609586","saheart.tsv.gz"
"208","XGBClassifier","29","labor.tsv.gz","0.641891892","0.684210526","0.644736842","labor.tsv.gz"
"209","XGBClassifier","30","pendigits.tsv.gz","0.639188485","0.351164483","0.351788721","pendigits.tsv.gz"
"210","LogisticRegression","86","car_evaluation.tsv.gz","0.637327079","0.712962963","0.37720932","car_evaluation.tsv.gz"
"211","LogisticRegression","87","allbp.tsv.gz","0.637020441","0.908801697","0.441116219","allbp.tsv.gz"
"212","RandomForestClassifier","95","krkopt.tsv.gz","0.636582689","0.416666667","0.292053505","krkopt.tsv.gz"
"213","LogisticRegression","88","analcatdata_lawsuit.tsv.gz","0.626638024","0.757575758","0.538007219","analcatdata_lawsuit.tsv.gz"
"214","LogisticRegression","89","breast_cancer.tsv.gz","0.624465906","0.72027972","0.632130684","breast_cancer.tsv.gz"
"215","RandomForestClassifier","96","analcatdata_aids.tsv.gz","0.62","0.62","0.618627057","analcatdata_aids.tsv.gz"
"216","LogisticRegression","90","allhypo.tsv.gz","0.619413293","0.877984085","0.464045636","allhypo.tsv.gz"
"217","XGBClassifier","31","segmentation.tsv.gz","0.613888889","0.338095238","0.335629974","segmentation.tsv.gz"
"218","LogisticRegression","91","churn.tsv.gz","0.612619273","0.7152","0.569013943","churn.tsv.gz"
"219","LogisticRegression","92","allhyper.tsv.gz","0.609994087","0.92442323","0.33355217","allhyper.tsv.gz"
"220","LogisticRegression","93","mux6.tsv.gz","0.609375","0.609375","0.609279609","mux6.tsv.gz"
"221","LogisticRegression","94","flags.tsv.gz","0.6093594","0.443820225","0.356400881","flags.tsv.gz"
"222","LogisticRegression","95","bupa.tsv.gz","0.608946342","0.608695652","0.608695652","bupa.tsv.gz"
"223","RandomForestClassifier","97","breast_cancer.tsv.gz","0.608838162","0.741258741","0.614499089","breast_cancer.tsv.gz"
"224","LogisticRegression","96","tae.tsv.gz","0.606611583","0.476821192","0.471425852","tae.tsv.gz"
"225","XGBClassifier","32","analcatdata_cyyoung8092.tsv.gz","0.606164384","0.659793814","0.59008836","analcatdata_cyyoung8092.tsv.gz"
"226","RandomForestClassifier","98","analcatdata_fraud.tsv.gz","0.606100796","0.69047619","0.610833927","analcatdata_fraud.tsv.gz"
"227","XGBClassifier","33","magic.tsv.gz","0.60338941","0.579495268","0.5753731","magic.tsv.gz"
"228","RandomForestClassifier","99","wine_quality_red.tsv.gz","0.602236852","0.644777986","0.304001556","wine_quality_red.tsv.gz"
"229","RandomForestClassifier","100","saheart.tsv.gz","0.599379139","0.664502165","0.602067183","saheart.tsv.gz"
"230","LogisticRegression","97","hypothyroid.tsv.gz","0.598541815","0.870376225","0.554812908","hypothyroid.tsv.gz"
"231","XGBClassifier","34","analcatdata_cyyoung9302.tsv.gz","0.597332372","0.793478261","0.611123471","analcatdata_cyyoung9302.tsv.gz"
"232","LogisticRegression","98","monk1.tsv.gz","0.597122302","0.597122302","0.597038878","monk1.tsv.gz"
"233","LogisticRegression","99","cloud.tsv.gz","0.596620457","0.398148148","0.369042708","cloud.tsv.gz"
"234","XGBClassifier","35","analcatdata_japansolvent.tsv.gz","0.596296296","0.596153846","0.59600444","analcatdata_japansolvent.tsv.gz"
