Datasets,Dataset_Type,MLP_BA,RF_BA,XGB_BA,LR_BA,Rows,Features,Classes,Imbalance,Best_Baseline,Baseline_Difficulty,MLP_vs_Best,MLP_Rank
krkopt,bottom,0.548614649,0.636582689,0.519802876,0.548627497,28056,6,18,0.04879828,0.636582689,0.36341731099999997,-0.08796804000000003,3.0
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,0.520625,0.50625,0.503125,0.4875,1600,1000,2,0.0,0.50625,0.49375,0.014375000000000027,1.0
coil2000,bottom,0.512468399,0.5,0.497202666,0.50615044,9822,85,2,0.387795138,0.50615044,0.49384956,0.006317958999999984,1.0
analcatdata_germangss,bottom,0.421666667,0.526666667,0.531666667,0.586666667,400,5,4,0.0,0.586666667,0.41333333299999997,-0.16500000000000004,4.0
cloud,bottom,0.368055556,0.652365288,0.570028587,0.596620457,108,7,4,0.003772291,0.652365288,0.34763471199999996,-0.28430973200000004,4.0
analcatdata_dmft,bottom,0.233675705,0.517480272,0.505924641,0.534097442,797,4,6,0.001119054,0.534097442,0.465902558,-0.30042173699999997,4.0
mofn_3_7_10,top,1.0,0.897260274,0.563050865,0.962912817,1324,10,2,0.156191528,0.962912817,0.037087183000000024,0.037087183000000024,1.0
agaricus_lepiota,top,0.99996058,1.0,0.900968633,0.951071688,8145,22,2,0.000728968,1.0,0.0,-3.942000000001222e-05,2.0
mushroom,top,0.999872319,1.0,1.0,0.94574127,8124,22,2,0.000645946,1.0,0.0,-0.00012768100000004612,3.0
clean2,top,0.999597213,1.0,1.0,1.0,6598,168,2,0.239241575,1.0,0.0,-0.00040278699999996004,4.0
xd6,top,0.999482402,1.0,0.585303546,0.759834369,973,9,2,0.057165778,1.0,0.0,-0.0005175979999999525,2.0
analcatdata_authorship,top,0.998110647,0.97729925,0.767264338,0.998017459,841,70,4,0.06254763,0.998017459,0.001982540999999949,9.318799999991079e-05,1.0
texture,top,0.996909091,0.9754,0.99514,0.9973,5500,40,11,0.0,0.9973,0.0027000000000000357,-0.00039090899999993933,2.0
chess,top,0.994238387,0.970697213,0.540572472,0.964810169,3196,36,2,0.000987036,0.970697213,0.029302786999999997,0.023541173999999998,1.0
kr_vs_kp,top,0.993966665,0.970697213,0.568970043,0.96448273,3196,36,2,0.000987036,0.970697213,0.029302786999999997,0.02326945199999997,1.0
penguins,top,0.993575969,0.993315508,0.863923974,0.989973262,333,7,3,0.028298569,0.993315508,0.006684491999999986,0.0002604609999999896,1.0
pendigits,top,0.993088723,0.982629311,0.639188485,0.934792161,10992,16,10,0.000160263,0.982629311,0.01737068900000005,0.010459412000000001,1.0
irish,top,0.992503295,1.0,1.0,0.754261456,500,5,2,0.006272,1.0,0.0,-0.007496704999999992,3.0
prnn_crabs,top,0.991666667,0.955,0.805,0.995,200,7,2,0.0,0.995,0.0050000000000000044,-0.0033333330000000494,2.0
threeOf9,top,0.986582224,0.987226277,0.542645525,0.781435932,512,9,2,0.002471924,0.987226277,0.012773723000000015,-0.0006440530000000333,2.0
optdigits,top,0.983804958,0.97845488,0.785193216,0.974390265,5620,64,10,1.32e-05,0.97845488,0.021545119999999973,0.00535007799999998,1.0
monk3,top,0.982499652,0.988865393,0.980184837,0.782477026,554,6,2,0.000788489,0.988865393,0.011134607000000019,-0.00636574099999998,2.0
twonorm,top,0.979007753,0.940405038,0.575859071,0.977430993,7400,20,2,3.29e-07,0.977430993,0.022569006999999974,0.0015767599999999549,1.0
segmentation,top,0.96998557,0.982070707,0.613888889,0.941414141,2310,19,7,0.0,0.982070707,0.017929293000000013,-0.012085137000000024,2.0
mfeat_pixel,top,0.969833333,0.975277778,0.839722222,0.973611111,2000,240,10,0.0,0.975277778,0.02472222199999996,-0.0054444450000000755,3.0
vowel,top,0.966329966,0.971111111,0.796666667,0.732777778,990,13,11,0.0,0.971111111,0.028888888999999973,-0.004781145000000042,2.0
mfeat_karhunen,top,0.965,0.964166667,0.853888889,0.961944444,2000,64,10,0.0,0.964166667,0.03583333300000002,0.0008333329999999917,1.0
corral,top,0.954232804,1.0,0.565079365,0.857936508,160,6,2,0.0078125,1.0,0.0,-0.04576719600000001,2.0
iris,top,0.948888889,0.965,0.58,0.9,150,4,3,0.0,0.965,0.03500000000000003,-0.016111110999999956,2.0
clean1,top,0.948646804,1.0,1.0,0.997584541,476,168,2,0.008482805,1.0,0.0,-0.05135319599999999,4.0
ann_thyroid,top,0.945045554,0.997220903,0.86422,0.679621948,7200,21,3,0.526977932,0.997220903,0.002779097000000008,-0.05217534899999998,2.0
spambase,top,0.944952866,0.912716998,0.659766741,0.925921291,4601,57,2,0.02245302,0.925921291,0.07407870900000002,0.019031574999999967,1.0
analcatdata_lawsuit,top,0.941783029,0.943286788,0.876369495,0.626638024,264,4,2,0.366419881,0.943286788,0.05671321200000001,-0.0015037589999999934,2.0
tokyo1,top,0.925123449,0.926140275,0.726385916,0.909242426,959,44,2,0.03875746,0.926140275,0.07385972500000004,-0.0010168259999999707,2.0
mux6,top,0.921875,1.0,0.5078125,0.609375,128,6,2,0.0,1.0,0.0,-0.078125,2.0
splice,top,0.921214473,0.954275843,0.687073197,0.85938894,3188,60,3,0.051784203,0.954275843,0.04572415699999999,-0.03306136999999998,2.0
analcatdata_bankruptcy,top,0.906666667,0.9,0.78,0.88,50,6,2,0.0,0.9,0.09999999999999998,0.0066666669999999595,1.0
analcatdata_creditscore,top,0.873160832,0.993150685,0.98630137,0.834855403,100,6,2,0.1058,0.993150685,0.006849314999999967,-0.11998985299999998,3.0
prnn_synth,top,0.872,0.816,0.704,0.844,250,2,2,0.0,0.844,0.15600000000000003,0.028000000000000025,1.0
waveform_21,top,0.870960957,0.865425381,0.705575749,0.894529071,5000,21,3,5.36e-05,0.894529071,0.10547092899999999,-0.02356811400000003,2.0
waveform_40,top,0.867985974,0.87202528,0.651372503,0.89496012,5000,40,3,3.86e-05,0.89496012,0.10503987999999997,-0.026974146000000032,3.0
labor,top,0.866441441,0.895945946,0.641891892,0.922972973,57,16,2,0.044475223,0.922972973,0.07702702699999997,-0.05653153200000005,3.0
mfeat_zernike,top,0.8405,0.871666667,0.763333333,0.888333333,2000,47,10,0.0,0.888333333,0.11166666700000005,-0.04783333299999992,3.0
confidence,top,0.837962963,0.925,0.833333333,0.85,72,3,6,0.0,0.925,0.07499999999999996,-0.0870370370000001,3.0
molecular_biology_promoters,top,0.798742138,0.886792453,0.679245283,0.764150943,106,57,2,0.0,0.886792453,0.11320754700000002,-0.08805031499999993,2.0
collins,top,0.736615357,1.0,1.0,0.795524773,485,23,13,0.020290229,1.0,0.0,-0.263384643,4.0
cars,top,0.7201538,0.93476079,0.651873835,0.774423664,392,8,3,0.127997883,0.93476079,0.06523920999999999,-0.21460699000000005,3.0
