rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
29,wine_recognition,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9662921348314607,0.9664591260232908,0.9759512687914619,wine_recognition.tsv.gz
30,new_thyroid,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9627906976744186,0.9486952248667104,0.945118635118635,new_thyroid.tsv.gz
31,optdigits,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9612099644128114,0.961256295752842,0.9784548804038827,optdigits.tsv.gz
32,allhypo,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9583554376657825,0.7385546878059625,0.7535063388468716,allhypo.tsv.gz
33,mfeat_pixel,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9555,0.9555223589861598,0.9752777777777778,mfeat_pixel.tsv.gz
34,texture,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9552727272727273,0.9554279005039313,0.9754000000000002,texture.tsv.gz
35,prnn_crabs,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.955,0.9549988749718743,0.955,prnn_crabs.tsv.gz
36,mofn_3_7_10,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9546827794561934,0.9286237978177427,0.8972602739726028,mofn_3_7_10.tsv.gz
37,iris,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9533333333333334,0.9533286661999534,0.965,iris.tsv.gz
38,car_evaluation,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9484953703703703,0.8718878679250909,0.9332558006998801,car_evaluation.tsv.gz
39,vowel,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9474747474747475,0.9473777641351485,0.9711111111111111,vowel.tsv.gz
40,cars,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9413265306122449,0.9197916718417501,0.9347607901213886,cars.tsv.gz
