dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
analcatdata_bankruptcy.tsv.gz,target,50,6,2,0,0,0,6,0,numeric,0.78,0.779911965,0.78,0.9,0.899959984,0.9,0.88,0.879227053,0.88,3,0.853333333,0.853033001,0.853333333,0.052493386,TRUE,15,0.86056155,"selected: all-3-model coverage; avg_acc=0.853, avg_macro_f1=0.853, avg_bal_acc=0.853; stability_std_acc=0.052; small dataset (50 rows, 6 features), well-balanced (class_imbalance=0.000)"
analcatdata_boxing1.tsv.gz,target,120,3,2,0.045,0,0,3,0,numeric,0.55,0.480102696,0.483516484,0.733333333,0.7,0.695970696,0.558333333,0.54928779,0.566849817,3,0.613888889,0.576463495,0.582112332,0.084528467,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_boxing2.tsv.gz,target,132,3,2,0.002869605,0,0,3,0,numeric,0.545454545,0.545454545,0.548603094,0.689393939,0.679668541,0.680096975,0.568181818,0.568157034,0.57203879,3,0.601010101,0.59776004,0.600246286,0.063181798,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_creditscore.tsv.gz,target,100,6,2,0.1058,0,0,6,0,numeric,0.98,0.975198413,0.98630137,0.99,0.987460815,0.993150685,0.81,0.786780384,0.834855403,3,0.926666667,0.916479871,0.938102486,0.082596745,TRUE,6,0.92433691,"selected: all-3-model coverage; avg_acc=0.927, avg_macro_f1=0.916, avg_bal_acc=0.938; stability_std_acc=0.083; small dataset (100 rows, 6 features), moderately imbalanced (class_imbalance=0.106)"
analcatdata_cyyoung8092.tsv.gz,target,97,10,2,0.127590605,0,0,10,0,numeric,0.659793814,0.59008836,0.606164384,0.824742268,0.737127371,0.715753425,0.835051546,0.784444444,0.792522831,3,0.773195876,0.703886725,0.704813546,0.080297742,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_cyyoung9302.tsv.gz,target,92,10,2,0.172258979,0,0,10,0,numeric,0.793478261,0.611123471,0.597332372,0.847826087,0.735197368,0.709444845,0.847826087,0.758258258,0.748377794,3,0.829710145,0.701526366,0.68505167,0.025619811,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_dmft.tsv.gz,target,797,4,6,0.001119054,0,0,4,0,numeric,0.17565872,0.176117989,0.505924641,0.195734003,0.195647176,0.517480272,0.230865747,0.207913309,0.534097442,3,0.200752823,0.193226158,0.519167452,0.022815862,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_fraud.tsv.gz,target,42,11,2,0.072562358,0,0,11,0,numeric,0.642857143,0.550962224,0.550397878,0.69047619,0.610833927,0.606100796,0.619047619,0.554376658,0.554376658,3,0.650793651,0.572057603,0.570291777,0.029695694,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_germangss.tsv.gz,target,400,5,4,0,0,0,5,0,numeric,0.2975,0.291639405,0.531666667,0.29,0.289028044,0.526666667,0.38,0.336415425,0.586666667,3,0.3225,0.305694291,0.548333333,0.040773766,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_happiness.tsv.gz,target,60,3,3,0,0,0,3,0,numeric,0.35,0.339108495,0.5125,0.3,0.302788803,0.475,0.566666667,0.481700611,0.675,3,0.405555556,0.374532636,0.554166667,0.115737037,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_japansolvent.tsv.gz,target,52,9,2,0.000739645,0,0,9,0,numeric,0.596153846,0.59600444,0.596296296,0.884615385,0.884444444,0.884444444,0.826923077,0.826345083,0.825925926,3,0.769230769,0.768931322,0.768888889,0.124629629,TRUE,33,0.780541972,"selected: all-3-model coverage; avg_acc=0.769, avg_macro_f1=0.769, avg_bal_acc=0.769; stability_std_acc=0.125; small dataset (52 rows, 9 features), well-balanced (class_imbalance=0.001)"
analcatdata_lawsuit.tsv.gz,target,264,4,2,0.366419881,0,0,4,0,numeric,0.950757576,0.835435147,0.876369495,0.984848485,0.943286788,0.943286788,0.757575758,0.538007219,0.626638024,3,0.897727273,0.772243051,0.815431436,0.100074582,TRUE,21,0.820026478,"selected: all-3-model coverage; avg_acc=0.898, avg_macro_f1=0.772, avg_bal_acc=0.815; stability_std_acc=0.100; small dataset (264 rows, 4 features), highly imbalanced (class_imbalance=0.366)"
ann_thyroid.tsv.gz,target,7200,21,3,0.526977932,0,0,21,0,numeric,,,,0.994166667,0.972217556,0.997220903,0.77375,0.365008945,0.679621948,2,0.883958333,0.66861325,0.838421426,0.110208333,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
appendicitis.tsv.gz,target,106,7,2,0.182271271,0,0,7,0,numeric,0.801886792,0.554354354,0.553781513,0.886792453,0.799242424,0.768067227,0.698113208,0.635268817,0.704201681,3,0.795597484,0.662955199,0.67535014,0.077156252,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
backache.tsv.gz,target,180,32,2,0.260802469,0,0,32,0,numeric,0.766666667,0.495192308,0.495483871,0.861111111,0.499499499,0.516774194,0.744444444,0.54,0.549677419,3,0.790740741,0.511563936,0.520645161,0.050579631,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
balance_scale.tsv.gz,target,625,4,3,0.097486507,0,0,4,0,numeric,0.5424,0.397859945,0.56592237,0.856,0.594946735,0.765506512,0.8704,0.691732011,0.802211459,3,0.756266667,0.561512897,0.711213447,0.151340793,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
