dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
mfeat_zernike.tsv.gz,target,2000,47,10,0,0,0,47,0,numeric,0.574,0.571650107,0.763333333,0.769,0.763305422,0.871666667,0.799,0.786198523,0.888333333,3,0.714,0.707051351,0.841111111,0.099749687,TRUE,38,0.757645751,"selected: all-3-model coverage; avg_acc=0.714, avg_macro_f1=0.707, avg_bal_acc=0.841; stability_std_acc=0.100; medium dataset (2000 rows, 47 features), well-balanced (class_imbalance=0.000)"
mnist.tsv.gz,target,70000,784,10,0.000292873,0,0,784,0,numeric,,,,,,,,,,0,,,,,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mofn_3_7_10.tsv.gz,target,1324,10,2,0.156191528,0,0,10,0,numeric,0.590634441,0.528091897,0.563050865,0.954682779,0.928623798,0.897260274,0.972809668,0.960649891,0.962912817,3,0.839375629,0.805788529,0.807741319,0.176042192,TRUE,23,0.819933209,"selected: all-3-model coverage; avg_acc=0.839, avg_macro_f1=0.806, avg_bal_acc=0.808; stability_std_acc=0.176; medium dataset (1324 rows, 10 features), moderately imbalanced (class_imbalance=0.156)"
molecular_biology_promoters.tsv.gz,target,106,57,2,0,0,0,57,0,numeric,0.679245283,0.664806548,0.679245283,0.886792453,0.886792453,0.886792453,0.764150943,0.763961878,0.764150943,3,0.77672956,0.771853626,0.77672956,0.085196334,TRUE,31,0.786186505,"selected: all-3-model coverage; avg_acc=0.777, avg_macro_f1=0.772, avg_bal_acc=0.777; stability_std_acc=0.085; small dataset (106 rows, 57 features), well-balanced (class_imbalance=0.000)"
monk1.tsv.gz,target,556,6,2,0,0,0,6,0,numeric,0.507194245,0.503797798,0.507194245,0.78057554,0.769855057,0.78057554,0.597122302,0.597038878,0.597122302,3,0.628297362,0.623563911,0.628297362,0.113763633,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
monk2.tsv.gz,target,601,6,2,0.049447538,0,0,6,0,numeric,0.589018303,0.515583547,0.517782967,0.657237937,0.396586345,0.5,0.59733777,0.442135383,0.478818975,3,0.614531337,0.451435092,0.498867314,0.030388525,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
monk3.tsv.gz,target,554,6,2,0.000788489,0,0,6,0,numeric,0.980144404,0.980115833,0.980184837,0.989169675,0.989145768,0.988865393,0.783393502,0.782756457,0.782477026,3,0.917569194,0.917339353,0.917175752,0.09494806,TRUE,9,0.921472505,"selected: all-3-model coverage; avg_acc=0.918, avg_macro_f1=0.917, avg_bal_acc=0.917; stability_std_acc=0.095; small dataset (554 rows, 6 features), well-balanced (class_imbalance=0.001)"
movement_libras.tsv.gz,target,360,90,15,0,0,0,90,0,numeric,,,,0.819444444,0.818329296,0.90327381,0.702777778,0.691488029,0.84077381,2,0.761111111,0.754908663,0.87202381,0.058333333,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mushroom.tsv.gz,target,8124,22,2,0.000645946,0,0,22,0,numeric,1,1,1,1,1,1,0.946085672,0.945983108,0.94574127,3,0.982028557,0.981994369,0.981913757,0.025415458,TRUE,3,0.982854166,"selected: all-3-model coverage; avg_acc=0.982, avg_macro_f1=0.982, avg_bal_acc=0.982; stability_std_acc=0.025; medium dataset (8124 rows, 22 features), well-balanced (class_imbalance=0.001)"
mux6.tsv.gz,target,128,6,2,0,0,0,6,0,numeric,0.5078125,0.462937063,0.5078125,1,1,1,0.609375,0.609279609,0.609375,3,0.705729167,0.690738891,0.705729167,0.212171672,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
new_thyroid.tsv.gz,target,215,5,3,0.199387056,0,0,5,0,numeric,,,,0.962790698,0.948695225,0.945118635,0.525581395,0.533653846,0.774950335,2,0.744186047,0.741174536,0.860034485,0.218604651,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
nursery.tsv.gz,target,12958,8,4,0.067567452,0,0,8,0,numeric,,,,0.895277049,0.679698203,0.824986399,0.750578793,0.56876126,0.74172232,2,0.822927921,0.624229732,0.78335436,0.072349128,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
optdigits.tsv.gz,target,5620,64,10,1.32E-05,0,0,64,0,numeric,0.612989324,0.610040894,0.785193216,0.961209964,0.961256296,0.97845488,0.953914591,0.95384192,0.974390265,3,0.842704626,0.841713036,0.912679454,0.162460551,TRUE,13,0.867715384,"selected: all-3-model coverage; avg_acc=0.843, avg_macro_f1=0.842, avg_bal_acc=0.913; stability_std_acc=0.162; medium dataset (5620 rows, 64 features), well-balanced (class_imbalance=0.000)"
page_blocks.tsv.gz,target,5473,10,5,0.610168343,0,0,10,0,numeric,,,,0.969303855,0.792187021,0.850359599,0.514891284,0.289415445,0.723568469,2,0.74209757,0.540801233,0.786964034,0.227206285,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
parity5+5.tsv.gz,target,1124,10,2,3.96E-05,0,0,10,0,numeric,0.502669039,0.502668645,0.502716746,0.504448399,0.335304554,0.5,0.379893238,0.376656071,0.37928212,3,0.462336892,0.404876423,0.460666289,0.058300992,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
parity5.tsv.gz,target,32,5,2,0,0,0,5,0,numeric,0.46875,0.464039409,0.46875,0,0,0,0.09375,0.092864125,0.09375,3,0.1875,0.185634511,0.1875,0.202523147,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
pendigits.tsv.gz,target,10992,16,10,0.000160263,0,0,16,0,numeric,0.351164483,0.351788721,0.639188485,0.968340611,0.968626094,0.982629311,0.882914847,0.88215158,0.934792161,3,0.734139981,0.734188799,0.852203319,0.273040979,TRUE,35,0.776957889,"selected: all-3-model coverage; avg_acc=0.734, avg_macro_f1=0.734, avg_bal_acc=0.852; stability_std_acc=0.273; medium dataset (10992 rows, 16 features), well-balanced (class_imbalance=0.000)"
penguins.tsv.gz,target,333,7,3,0.028298569,0,0,7,0,numeric,0.843843844,0.820581434,0.863923974,0.993993994,0.992757302,0.993315508,0.990990991,0.989091372,0.989973262,3,0.942942943,0.93414337,0.949070915,0.070084369,TRUE,5,0.94283301,"selected: all-3-model coverage; avg_acc=0.943, avg_macro_f1=0.934, avg_bal_acc=0.949; stability_std_acc=0.070; small dataset (333 rows, 7 features), well-balanced (class_imbalance=0.028)"
phoneme.tsv.gz,target,5404,5,2,0.085295811,0,0,5,0,numeric,0.668948927,0.568935018,0.566671148,0.81180607,0.772972982,0.77282214,0.717431532,0.69618737,0.73330963,3,0.732728843,0.679365124,0.690934306,0.059315802,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
poker.tsv.gz,target,1025010,10,10,0.332436225,0,0,10,0,numeric,,,,,,,0.41943981,0.068505304,0.518219993,1,0.41943981,0.068505304,0.518219993,0,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
postoperative_patient_data.tsv.gz,target,88,8,2,0.103305785,0,0,8,0,numeric,,,,0.659090909,0.397260274,0.453125,0.670454545,0.401360544,0.4609375,2,0.664772727,0.399310409,0.45703125,0.005681818,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
prnn_crabs.tsv.gz,target,200,7,2,0,0,0,7,0,numeric,0.805,0.803224097,0.805,0.955,0.954998875,0.955,0.995,0.994999875,0.995,3,0.918333333,0.917740949,0.918333333,0.081785628,TRUE,7,0.922209332,"selected: all-3-model coverage; avg_acc=0.918, avg_macro_f1=0.918, avg_bal_acc=0.918; stability_std_acc=0.082; small dataset (200 rows, 7 features), well-balanced (class_imbalance=0.000)"
prnn_synth.tsv.gz,target,250,2,2,0,0,0,2,0,numeric,0.704,0.701689886,0.704,0.816,0.815952884,0.816,0.844,0.843577032,0.844,3,0.788,0.787073268,0.788,0.060486913,TRUE,26,0.798275644,"selected: all-3-model coverage; avg_acc=0.788, avg_macro_f1=0.787, avg_bal_acc=0.788; stability_std_acc=0.060; small dataset (250 rows, 2 features), well-balanced (class_imbalance=0.000)"
profb.tsv.gz,target,672,9,2,0.055555556,0,0,9,0,numeric,0.619047619,0.510894782,0.520089286,0.671130952,0.520085311,0.544642857,0.601190476,0.581996435,0.595982143,3,0.630456349,0.537658843,0.553571429,0.029670826,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
ring.tsv.gz,target,7400,20,2,4.73E-05,0,0,20,0,numeric,0.533513514,0.531933061,0.534129454,0.90527027,0.905084931,0.905785968,0.766756757,0.763441762,0.765677452,3,0.73518018,0.733486585,0.735197625,0.153402698,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
saheart.tsv.gz,target,462,9,2,0.047234872,0,0,9,0,numeric,0.614718615,0.54576788,0.54660596,0.664502165,0.602067183,0.599379139,0.647186147,0.631609586,0.64490894,3,0.642135642,0.593148216,0.59696468,0.020635425,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
satimage.tsv.gz,target,6435,36,6,0.023007277,0,0,36,0,numeric,,,,0.881895882,0.858358645,0.913328067,0.791763792,0.663444411,0.823436826,2,0.836829837,0.760901528,0.868382446,0.045066045,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
schizo.tsv.gz,target,340,14,3,0.098569781,0,0,14,0,numeric,0.552941176,0.330585082,0.516613408,0.547058824,0.359279249,0.525982496,0.517647059,0.368569867,0.532066896,3,0.539215686,0.352811399,0.5248876,0.015439231,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
segmentation.tsv.gz,target,2310,19,7,0,0,0,19,0,numeric,0.338095238,0.335629974,0.613888889,0.969264069,0.969222963,0.982070707,0.8995671,0.898272145,0.941414141,3,0.735642136,0.734375028,0.845791246,0.282544473,TRUE,36,0.775953819,"selected: all-3-model coverage; avg_acc=0.736, avg_macro_f1=0.734, avg_bal_acc=0.846; stability_std_acc=0.283; medium dataset (2310 rows, 19 features), well-balanced (class_imbalance=0.000)"
shuttle.tsv.gz,target,58000,9,7,0.501629214,0,0,9,0,numeric,,,,0.99487931,0.426238948,0.712503069,0.936948276,0.454736228,0.69921916,2,0.965913793,0.440487588,0.705861115,0.028965517,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
sleep.tsv.gz,target,105908,13,5,0.11879505,0,0,13,0,numeric,,,,0.709124901,0.54964496,0.721317975,0.628583299,0.516128364,0.728319079,2,0.6688541,0.532886662,0.724818527,0.040270801,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
sonar.tsv.gz,target,208,60,2,0.002265163,0,0,60,0,numeric,0.519230769,0.50263032,0.5092412,0.855769231,0.853823088,0.851862171,0.769230769,0.767857143,0.767530417,3,0.71474359,0.708103517,0.709544596,0.142691213,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
soybean.tsv.gz,target,675,35,18,0.034252949,0,0,35,0,numeric,,,,0.940740741,0.96448746,0.982713658,0.905185185,0.941558694,0.966674562,2,0.922962963,0.953023077,0.97469411,0.017777778,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
spambase.tsv.gz,target,4601,57,2,0.02245302,0,0,57,0,numeric,0.656161704,0.650897344,0.659766741,0.921104108,0.916575346,0.912716998,0.925885677,0.922923361,0.925921291,3,0.83438383,0.830132017,0.832801677,0.126037191,TRUE,17,0.839658315,"selected: all-3-model coverage; avg_acc=0.834, avg_macro_f1=0.830, avg_bal_acc=0.833; stability_std_acc=0.126; medium dataset (4601 rows, 57 features), well-balanced (class_imbalance=0.022)"
spect.tsv.gz,target,267,22,2,0.172880809,0,0,22,0,numeric,0.573033708,0.483821734,0.502229846,0.805243446,0.689534884,0.682118353,0.838951311,0.724709267,0.703344768,3,0.739076155,0.632688628,0.629230989,0.118213439,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
spectf.tsv.gz,target,349,44,2,0.103779936,0,0,44,0,numeric,0.690544413,0.512267081,0.523829258,0.905444126,0.881834505,0.885619561,0.796561605,0.757546404,0.774575218,3,0.797516714,0.717215996,0.728008012,0.08773504,TRUE,39,0.756969455,"selected: all-3-model coverage; avg_acc=0.798, avg_macro_f1=0.717, avg_bal_acc=0.728; stability_std_acc=0.088; small dataset (349 rows, 44 features), moderately imbalanced (class_imbalance=0.104)"
splice.tsv.gz,target,3188,60,3,0.051784203,0,0,60,0,numeric,0.592848181,0.572995541,0.687073197,0.93663739,0.929723975,0.954275843,0.821518193,0.809154087,0.85938894,3,0.783667921,0.770624534,0.833579326,0.142880457,TRUE,25,0.799807981,"selected: all-3-model coverage; avg_acc=0.784, avg_macro_f1=0.771, avg_bal_acc=0.834; stability_std_acc=0.143; medium dataset (3188 rows, 60 features), moderately imbalanced (class_imbalance=0.052)"
tae.tsv.gz,target,151,5,3,0.000204669,0,0,5,0,numeric,,,,0.668874172,0.668073965,0.75127414,0.476821192,0.471425852,0.606611583,2,0.572847682,0.569749908,0.678942862,0.09602649,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
texture.tsv.gz,target,5500,40,11,0,0,0,40,0,numeric,,,,0.955272727,0.955427901,0.9754,0.995090909,0.995091511,0.9973,2,0.975181818,0.975259706,0.98635,0.019909091,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
threeOf9.tsv.gz,target,512,9,2,0.002471924,0,0,9,0,numeric,0.552734375,0.537474112,0.542645525,0.986328125,0.986284122,0.987226277,0.783203125,0.781803941,0.781435932,3,0.774088542,0.768520725,0.770435912,0.177131198,TRUE,32,0.782398625,"selected: all-3-model coverage; avg_acc=0.774, avg_macro_f1=0.769, avg_bal_acc=0.770; stability_std_acc=0.177; small dataset (512 rows, 9 features), well-balanced (class_imbalance=0.002)"
tic_tac_toe.tsv.gz,target,958,9,2,0.047090537,0,0,9,0,numeric,0.520876827,0.500167663,0.506072212,0.861169102,0.826750155,0.799698795,0.629436326,0.559812737,0.560139921,3,0.670494085,0.628910185,0.621970309,0.141924893,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
tokyo1.tsv.gz,target,959,44,2,0.03875746,0,0,44,0,numeric,0.722627737,0.712382177,0.726385916,0.935349322,0.929371377,0.926140275,0.921793535,0.914158864,0.909242426,3,0.859923531,0.851970806,0.853922872,0.097240393,TRUE,14,0.860705863,"selected: all-3-model coverage; avg_acc=0.860, avg_macro_f1=0.852, avg_bal_acc=0.854; stability_std_acc=0.097; small dataset (959 rows, 44 features), well-balanced (class_imbalance=0.039)"
twonorm.tsv.gz,target,7400,20,2,3.29E-07,0,0,20,0,numeric,0.575810811,0.574326324,0.575859071,0.940405405,0.940405317,0.940405038,0.977432432,0.977432284,0.977430993,3,0.831216216,0.830721308,0.831231701,0.181230408,TRUE,18,0.839486042,"selected: all-3-model coverage; avg_acc=0.831, avg_macro_f1=0.831, avg_bal_acc=0.831; stability_std_acc=0.181; medium dataset (7400 rows, 20 features), well-balanced (class_imbalance=0.000)"
vehicle.tsv.gz,target,846,18,4,0.000319959,0,0,18,0,numeric,,,,0.738770686,0.733984089,0.827291417,0.756501182,0.74908664,0.839126852,2,0.747635934,0.741535364,0.833209135,0.008865248,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
vowel.tsv.gz,target,990,13,11,0,0,0,13,0,numeric,0.63030303,0.629491036,0.796666667,0.947474747,0.947377764,0.971111111,0.514141414,0.500556878,0.732777778,3,0.697306397,0.692475226,0.833518519,0.183142081,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
waveform_21.tsv.gz,target,5000,21,3,5.36E-05,0,0,21,0,numeric,0.6078,0.607533312,0.705575749,0.8208,0.819980796,0.865425381,0.8596,0.859141573,0.894529071,3,0.762733333,0.76221856,0.8218434,0.110693611,TRUE,29,0.789191331,"selected: all-3-model coverage; avg_acc=0.763, avg_macro_f1=0.762, avg_bal_acc=0.822; stability_std_acc=0.111; medium dataset (5000 rows, 21 features), well-balanced (class_imbalance=0.000)"
waveform_40.tsv.gz,target,5000,40,3,3.86E-05,0,0,40,0,numeric,0.5344,0.531662268,0.651372503,0.829,0.828487429,0.87202528,0.8598,0.859774768,0.89496012,3,0.741066667,0.739974822,0.806119301,0.146675363,TRUE,37,0.769892417,"selected: all-3-model coverage; avg_acc=0.741, avg_macro_f1=0.740, avg_bal_acc=0.806; stability_std_acc=0.147; medium dataset (5000 rows, 40 features), well-balanced (class_imbalance=0.000)"
wine_quality_red.tsv.gz,target,1599,11,6,0.190670099,0,0,11,0,numeric,,,,0.644777986,0.304001556,0.602236852,0.507817386,0.261942388,0.566116763,2,0.576297686,0.282971972,0.584176807,0.0684803,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
wine_quality_white.tsv.gz,target,4898,11,7,0.181692289,0,0,11,0,numeric,,,,0.548182932,0.214816469,0.555527446,0.425888118,0.220455704,0.562938223,2,0.487035525,0.217636086,0.559232834,0.061147407,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
wine_recognition.tsv.gz,target,178,13,3,0.008353322,0,0,13,0,numeric,,,,0.966292135,0.966459126,0.975951269,0.971910112,0.971700096,0.981734145,2,0.969101124,0.969079611,0.978842707,0.002808989,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
xd6.tsv.gz,target,973,9,2,0.057165778,0,0,9,0,numeric,0.58684481,0.56918451,0.585303546,1,1,1,0.808838643,0.772024367,0.759834369,3,0.798561151,0.780402959,0.781712638,0.168826386,TRUE,27,0.795207309,"selected: all-3-model coverage; avg_acc=0.799, avg_macro_f1=0.780, avg_bal_acc=0.782; stability_std_acc=0.169; small dataset (973 rows, 9 features), moderately imbalanced (class_imbalance=0.057)"
yeast.tsv.gz,target,1479,8,9,0.113615864,0,0,8,0,numeric,0.310344828,0.211824881,0.562809545,0.621365788,0.540988109,0.739647526,0.459770115,0.320326759,0.651818606,3,0.46382691,0.35771325,0.651425226,0.127006175,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
