"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"58","analcatdata_boxing2.tsv.gz","XGBClassifier","0.548603094","0.545454545","0.545454545","analcatdata_boxing2.tsv.gz"
"59","saheart.tsv.gz","XGBClassifier","0.54660596","0.614718615","0.54576788","saheart.tsv.gz"
"60","breast_cancer.tsv.gz","XGBClassifier","0.54413228","0.702797203","0.524926228","breast_cancer.tsv.gz"
"61","led24.tsv.gz","XGBClassifier","0.542907032","0.1771875","0.158919665","led24.tsv.gz"
"62","threeOf9.tsv.gz","XGBClassifier","0.542645525","0.552734375","0.537474112","threeOf9.tsv.gz"
"63","led7.tsv.gz","XGBClassifier","0.542610188","0.1771875","0.159746616","led7.tsv.gz"
"64","car_evaluation.tsv.gz","XGBClassifier","0.541219428","0.58275463","0.292674529","car_evaluation.tsv.gz"
"65","chess.tsv.gz","XGBClassifier","0.540572472","0.531914894","0.517842744","chess.tsv.gz"
"66","allrep.tsv.gz","XGBClassifier","0.534134897","0.936638388","0.299593302","allrep.tsv.gz"
"67","ring.tsv.gz","XGBClassifier","0.534129454","0.533513514","0.531933061","ring.tsv.gz"
"68","analcatdata_germangss.tsv.gz","XGBClassifier","0.531666667","0.2975","0.291639405","analcatdata_germangss.tsv.gz"
"69","analcatdata_asbestos.tsv.gz","XGBClassifier","0.525558167","0.518072289","0.518002323","analcatdata_asbestos.tsv.gz"
"70","spectf.tsv.gz","XGBClassifier","0.523829258","0.690544413","0.512267081","spectf.tsv.gz"
"71","bupa.tsv.gz","XGBClassifier","0.521954008","0.52173913","0.52173913","bupa.tsv.gz"
"72","profb.tsv.gz","XGBClassifier","0.520089286","0.619047619","0.510894782","profb.tsv.gz"
"73","analcatdata_aids.tsv.gz","XGBClassifier","0.52","0.52","0.516908213","analcatdata_aids.tsv.gz"
"74","krkopt.tsv.gz","XGBClassifier","0.519802876","0.121934702","0.08328927","krkopt.tsv.gz"
"75","allhypo.tsv.gz","XGBClassifier","0.518247157","0.836870027","0.34956802","allhypo.tsv.gz"
"76","monk2.tsv.gz","XGBClassifier","0.517782967","0.589018303","0.515583547","monk2.tsv.gz"
"77","Hill_Valley_without_noise.tsv.gz","XGBClassifier","0.517647059","0.51650165","0.51051835","Hill_Valley_without_noise.tsv.gz"
"78","schizo.tsv.gz","XGBClassifier","0.516613408","0.552941176","0.330585082","schizo.tsv.gz"
"79","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz","XGBClassifier","0.515","0.515","0.503061042","GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz"
"80","analcatdata_happiness.tsv.gz","XGBClassifier","0.5125","0.35","0.339108495","analcatdata_happiness.tsv.gz"
"81","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz","XGBClassifier","0.509375","0.509375","0.50243218","GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz"
"82","sonar.tsv.gz","XGBClassifier","0.5092412","0.519230769","0.50263032","sonar.tsv.gz"
"83","mux6.tsv.gz","XGBClassifier","0.5078125","0.5078125","0.462937063","mux6.tsv.gz"
"84","monk1.tsv.gz","XGBClassifier","0.507194245","0.507194245","0.503797798","monk1.tsv.gz"
"85","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz","XGBClassifier","0.50625","0.50625","0.496910617","GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz"
"86","tic_tac_toe.tsv.gz","XGBClassifier","0.506072212","0.520876827","0.500167663","tic_tac_toe.tsv.gz"
