Model,Mean BA,Std Dev,Median BA,Joint first-place count,Joint first-place rate (%),Average Rank
MLP,0.7989528679855072,0.18938467060974584,0.867985974,28,40.57971014492754,1.9130434782608696
Random Forest,0.7985571364057972,0.2001851440743379,0.897260274,29,42.028985507246375,2.028985507246377
Logistic Regression,0.7542918192318842,0.18142975808209558,0.781435932,13,18.840579710144926,2.601449275362319
XGBoost,0.6610625088840577,0.16995692912111696,0.575859071,5,7.246376811594203,3.4565217391304346
