Feature,N,Pearson r,Pearson raw p,Spearman rho,Spearman raw p,Pearson Holm p,Spearman Holm p,Pearson significant,Spearman significant,Absolute Spearman rho
Classes,69,-0.24734202567268715,0.04046228151335154,-0.41051175096522574,0.0004592631955120392,0.2427736890801092,0.002755579173072235,False,True,0.41051175096522574
Feat_Row_Ratio,69,-0.08823723666105798,0.4709271384768694,-0.19852519419481324,0.10199269607374536,1.0,0.5099634803687269,False,False,0.19852519419481324
Rows,69,0.10640103060844415,0.38421270162848503,0.19034479472496832,0.11720879314928731,1.0,0.5099634803687269,False,False,0.19034479472496832
Features,69,0.02681409928044986,0.8268799926955438,0.0638199160606725,0.6023843283353776,1.0,1.0,False,False,0.0638199160606725
Numeric_Features,69,0.02681409928044986,0.8268799926955438,0.0638199160606725,0.6023843283353776,1.0,1.0,False,False,0.0638199160606725
Imbalance,69,0.024495043173497676,0.8416496203852556,-0.039930780078752705,0.7446056908118586,1.0,1.0,False,False,0.039930780078752705
