classifier,mean,median,std,min,max
LogisticRegression,0.7368284238984375,0.751319625,0.17119495574317525,0.09375,1.0
RandomForest,0.784094965512,0.827291417,0.18594476630588663,0.0,1.0
XGB,0.6185467438585859,0.561263144,0.14212246831092146,0.463256457,1.0
MLP,,,,,
